CHV;Código Fazenda;CD_UPNIVEL3;DT_ANALISE;NIVEL INFESTAÇÃO;;Nivel de Infestação;
103250005;10325;5;11/05/2023;B;;;
103250006;10325;6;11/05/2023;M;;;
103250007;10325;7;21/12/2023;M;;;
103250008;10325;8;27/01/2021;B;;;
103250017;10325;17;27/01/2021;M;;;
103250020;10325;20;27/01/2021;M;;;
103250021;10325;21;27/01/2021;M;;;
103250024;10325;24;27/01/2021;M;;;
103250025;10325;25;27/01/2021;M;;;
103250028;10325;28;27/01/2021;M;;;
103250029;10325;29;27/01/2021;M;;;
103250030;10325;30;27/01/2021;A;;;
103250031;10325;31;27/01/2021;A;;;
103250032;10325;32;27/01/2021;M;;;
103250033;10325;33;27/01/2021;M;;;
103250043;10325;43;27/01/2021;A;;;
103250050;10325;50;27/01/2021;B;;;
103250051;10325;51;27/01/2021;B;;;
103250052;10325;52;27/01/2021;B;;;
103250053;10325;53;27/01/2021;B;;;
103250062;10325;62;27/01/2021;B;;;
103250063;10325;63;27/01/2021;B;;;
103250064;10325;64;27/01/2021;B;;;
103250068;10325;68;27/01/2021;B;;;
103250069;10325;69;27/01/2021;B;;;
103250070;10325;70;27/01/2021;B;;;
103250071;10325;71;27/01/2021;B;;;
103270001;10327;1;11/01/2022;M;;;
103270003;10327;3;11/01/2022;B;;;
103270004;10327;4;11/01/2022;A;;;
103270005;10327;5;11/01/2022;A;;;
103270006;10327;6;11/01/2022;M;;;
103270018;10327;18;02/05/2019;B;;;
103270019;10327;19;02/05/2019;B;;;
103270020;10327;20;02/05/2019;B;;;
103270021;10327;21;02/05/2019;B;;;
103270022;10327;22;02/05/2019;B;;;
103270023;10327;23;02/05/2019;B;;;
103270024;10327;24;02/05/2019;B;;;
103270025;10327;25;02/05/2019;B;;;
103270026;10327;26;02/05/2019;B;;;
103270027;10327;27;02/05/2019;B;;;
103270028;10327;28;02/05/2019;B;;;
103270029;10327;29;02/05/2019;B;;;
103270030;10327;30;02/05/2019;B;;;
103270031;10327;31;02/05/2019;B;;;
103280001;10328;1;22/02/2017;B;;;
103280002;10328;2;02/04/2019;B;;;
103280003;10328;3;05/01/2022;B;;;
103280005;10328;5;02/04/2019;B;;;
103280010;10328;10;07/06/2020;B;;;
103280011;10328;11;07/06/2020;B;;;
103280014;10328;14;07/06/2020;B;;;
103280015;10328;15;02/04/2019;B;;;
103280017;10328;17;07/06/2020;B;;;
103280021;10328;21;22/02/2017;B;;;
103280024;10328;24;02/04/2019;B;;;
103280025;10328;25;02/04/2019;B;;;
103280026;10328;26;07/06/2020;B;;;
103280029;10328;29;07/06/2020;M;;;
103280033;10328;33;07/06/2020;A;;;
103280034;10328;34;07/06/2020;A;;;
103280035;10328;35;22/02/2017;B;;;
103280036;10328;36;07/06/2020;M;;;
103280038;10328;38;07/06/2020;M;;;
103280039;10328;39;07/06/2020;B;;;
103310001;10331;1;20/01/2016;B;;;
103370001;10337;1;11/01/2022;B;;;
103370002;10337;2;28/04/2020;A;;;
103370004;10337;4;28/04/2020;A;;;
103370005;10337;5;28/04/2020;A;;;
103370006;10337;6;28/04/2020;A;;;
103370007;10337;7;28/04/2020;A;;;
103370008;10337;8;28/04/2020;M;;;
103370009;10337;9;28/04/2020;A;;;
103370011;10337;11;20/01/2017;B;;;
103370013;10337;13;20/01/2017;B;;;
103370015;10337;15;20/01/2017;B;;;
103370019;10337;19;20/01/2017;B;;;
103370022;10337;22;20/01/2017;B;;;
104440003;10444;3;09/06/2020;A;;;
104440004;10444;4;09/06/2020;A;;;
104440005;10444;5;09/06/2020;A;;;
104440007;10444;7;09/06/2020;B;;;
104440008;10444;8;09/06/2020;B;;;
104450001;10445;1;20/01/2016;B;;;
201000001;20100;1;21/12/2023;A;;;
201000002;20100;2;21/12/2023;A;;;
201000004;20100;4;21/12/2023;M;;;
201000006;20100;6;21/12/2023;B;;;
201000008;20100;8;21/12/2023;A;;;
201000037;20100;37;05/01/2022;M;;;
201000046;20100;46;03/04/2020;A;;;
201000047;20100;47;03/04/2020;A;;;
201000048;20100;48;03/04/2020;A;;;
201000058;20100;58;03/04/2020;M;;;
201000070;20100;70;03/04/2020;B;;;
201000071;20100;71;03/04/2020;B;;;
201000077;20100;77;11/05/2023;A;;;
201010001;20101;1;05/01/2022;M;;;
201010002;20101;2;05/01/2022;B;;;
201010003;20101;3;05/01/2022;M;;;
201010004;20101;4;05/01/2022;A;;;
201010006;20101;6;05/01/2022;M;;;
201010007;20101;7;05/01/2022;B;;;
201010016;20101;16;05/01/2022;B;;;
201010017;20101;17;05/01/2022;B;;;
201010018;20101;18;05/01/2022;M;;;
201010019;20101;19;05/01/2022;B;;;
201010022;20101;22;05/01/2022;A;;;
201010023;20101;23;05/01/2022;B;;;
201010025;20101;25;05/01/2022;B;;;
201010029;20101;29;05/01/2022;M;;;
201010031;20101;31;05/01/2022;B;;;
201010033;20101;33;05/01/2022;B;;;
201010034;20101;34;05/01/2022;B;;;
201010043;20101;43;05/01/2022;B;;;
201010044;20101;44;05/01/2022;B;;;
201020003;20102;3;01/08/2020;B;;;
