Benchmarking CTC - Safra 2025 - Precipitação mês a mês ;;;;;;;;;;;;;;
;Participante;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Jan;Fev;Média
70;Ferrari;;120,4;7;32,6;8,4;8;32,8;156,2;288,1;;;;
71;Ester;290;66;8;21;10;3;36;141;153;193;213;;
72;Energética Sta Helena;133,4;;;;;14,1;23,8;166,4;197,2;343,9;183,3;;
73;Energética Serranópolis;;176,4;31,3;80,3;0;15,8;;;;;;;
74;Diana;85,1;132,1;3,8;40;0;6,4;3,4;172;292,1;332,8;;;
75;Denusa;;89;15;35;0,4;0;36,6;15,4;100,5;;;;
76;Participante 76;;188,3;41,4;20,4;0,6;14,3;40,9;113,5;112,9;;;;
77;Participante 77;;168,8;20;23,6;2,2;11,2;40,6;122,1;143;;;;
78;Della Coletta;;49;3;73;;6;0;117;136;;;;
79;Dacalda;82;73;36;106;20,3;0;;99;226;282;;;
80;Cox Energy - Coxag;;;21;29;6;0;39;130;258;246;435;;
81;Coruripe - Lim. Oeste;;136;22;31;0;8;5;94;128,5;;;;
82;Coruripe - Iturama;;80;14;53,5;2;10;18;172;73;;;;
83;Coruripe - Carneirinho;;65;22;30;8;15;13;143;142;;;;
84;Coruripe - Campo Florido;;119;16;14;0;8;37;107;114;;;;
85;Colombo - Santa Albertina;87,4;82,4;51,9;36;0;4,1;0,4;91;57,1;;;;
86;Colombo - Palestina;175,3;153,9;7,5;19,6;6,1;13,1;6,5;73;75,1;;;;
87;Colombo - Ariranha;79,3;85,6;3,6;37;5,4;1;20,4;56,4;111,2;178,6;;;
88;Cofco - Sebastianópolis;;105,3;10,9;33,8;9,3;5,6;7,5;56,8;93,1;234,2;100,2;;
89;Cofco - Potirendaba;;95;8,3;46,2;10,5;5,4;8,2;61,8;95,2;202,2;129,8;;
90;Cofco - Meridiano;;101,4;13;21,3;6,1;5,3;1,8;39,7;51,2;151,7;112,1;;
91;Cofco - Catanduva;;85,9;7,1;38,1;8,3;4,2;11,8;71,5;95,6;197,1;122,8;;
92;Cocal PPT;58,8;82,4;15,8;146,6;17;7,6;13;183;161;;143,8;;
93;Cocal NRD;42;134;24,8;103,8;14,4;0;5,6;202,6;203,4;;150,6;;
94;Clealco - Queiroz;;35,9;6,9;72;9,9;2,3;2,5;144,8;163;;;;
95;Clealco - Clementina;;134,7;14;80;4,4;;3,2;126,4;100,6;;;;
96;Cevasa;;135,7;3;51;9;19,4;28;94,2;215,4;157,2;260;;
97;Cerradão;;0,4;33,9;;5,4;4,5;15;69,6;54,3;;;;
98;Cerradinho Bioenergia;;160;18;69;2;11;23,1;71,1;177,7;206,6;;;
99;Participante 99;173;139,8;7;38;0;0;43;19,8;127;402;409,5;;
100;Cargill Bioenergia - USF;;116,9;9,6;2,5;0;0,5;14;59,8;9,7;202,6;217,2;;
101;Cargill Bioenergia - URD;;82;2,8;2,4;0;0,2;20,9;50,9;12,3;;175,5;;
102;Cananova - Lambari D Oeste;;;51,2;175,1;0;26,7;4,6;;;;;;
103;CMAA - Vale do Tijuco;;75,3;4,9;7,1;0,8;8,2;30,6;48,4;22,4;;;;
104;CMAA - Canápolis;;50;4,4;13,5;0;3,3;24,9;88,2;17,7;;;;
105;Bunge - Rio Vermelho;62,3;143,3;29,5;65;7,7;3,1;12,4;125,4;116,7;;;;
106;Bunge - Nova Unialco;146;132;17,6;90,5;7;1,5;4,6;111,9;143,2;;;;
107;Branco Peres;;138,5;19;95,5;8;0;5;92,6;30,6;;;;
108;Bevap;79,7;85,2;0;1,4;;;19,7;54,6;99;172;401;;
109;Batatais;;80,4;2,4;49,1;8,3;13,2;22,3;112;105,3;262,6;328,6;;
110;Bandeirantes;98;87;34;164;22,5;0;20;186;179;299;85;;
111;Bambuí Bioenergia;33;94;0;15;3;6;47;141;190;180;;;
112;Balbo - Uberaba;;143;2;13;2;;;;;;;;
113;Balbo - Santo Antonio;;108,9;4,4;41,5;6,7;4,8;37;100,9;161,8;;;;
114;BP - Tropical;8,1;8,9;0;1,5;0;0,1;0,7;0,7;2,6;;;;
115;BP - Santa Juliana;26;26,4;0,2;2,2;0,1;1,5;8,1;12,6;20,5;;;;
116;BP - Pedro Afonso;5,7;8,5;1,2;0,8;0;0;0;0;3,4;;;;
117;BP - Ouroeste;11,2;0,8;0;1,4;0;1,5;0,1;3,2;6,1;;;;
118;BP - Monte Verde;0,8;8,6;1,9;2,5;0;3,3;0,1;3,2;5,1;;;;
119;BP - Moema;1,5;2,1;0,2;1,2;0;0,1;0;3,1;2,7;;;;
120;BP - Itumbiara;3,6;4,6;0;0,5;0;0;0;2,8;5,1;;;;
121;BP - Ituiutaba;6,8;0,7;0,3;0,8;0;0,4;7,8;3,7;4,5;;;;
122;BP - Itapagipe;8;6,8;0,7;0,8;0,3;0,3;1;4,5;9,6;;;;
123;BP - Guariroba;1;7,8;0,3;0,8;0;0,2;0;2;3,6;;;;
124;BP - Frutal;12,5;10,5;0,1;4;0,1;0,5;0,9;8,1;6,2;;;;
125;Atvos - Água Emendada;0;0;0;0;0;0;0;0;0;0;0;;
126;Atvos - Santa Luzia I;116;426,6;33;43,2;0;0;0;0;0;0;0;;
127;Atvos - Rio Claro;20,2;36,6;5;7;0;0,2;2,6;17,2;36,6;53;39,2;;
128;Atvos - Polo SP;57,2;162,3;49,4;67,2;9,9;7,3;0;0;0;0;0;;
129;Atvos - Morro Vermelho;0;0;0;0;0;0;0;0;0;0;0;;
130;Atvos - Eldorado;32;185,2;13,6;2,5;0;0;0;0;0;0;0;;
131;Atvos - Costa Rica;23,5;24;6;6;0;0;0;0;0;0;0;;
132;Atvos - Alto Taquari;28,6;20,8;13,3;7;0;0;0;0;0;0;0;;
133;Participante 133;;193,5;5;185;9;21;17;174,5;98;;;;
134;Participante 134;81;95;6;107;15;6;4;167;135;264;220;;
135;Participante 135;80;52;9;110;12;0;6;158;153;309;224;;
136;Aroeira;101,4;125,1;4,1;12,2;0,6;4,2;32;70,4;88,2;238,8;241,3;;
137;Araporã Bioenergia;124,5;22,2;6,1;22,7;0;2,5;44,1;93,5;;;;;
138;Aralco - Nova Aralco;;142;83,5;90;57;22;;93,6;;;;;
139;Alta Mogiana;;22,4;2;28;3;7;22;86;;;;;
140;Alcoeste;66,8;144,8;27,6;31;4;2,6;1,4;83,6;151;222,4;149;;
141;Agroterenas - Rio Brilhante;94,6;324,1;38,5;34,5;12,9;12,8;29,5;138,6;285,3;220;;;
142;Agroterenas - Parag. Pta;118,5;112,1;26,5;188,7;19,9;19;11,6;192,8;134,6;271;;;
143;Agroterenas - Maracaí;81,6;86,9;25,4;175,1;15,8;5,2;13,3;129,6;163,7;278,6;;;
144;Agroterenas - Anaurilândia;87,8;222,8;27,3;41,5;8,3;7,1;19;167,6;180,3;198,7;;;
145;Agropéu;34,4;;0;0;0;0;9,6;12,8;198;;;;
146;Participante 146;66;121;104;174;39;35;39;155;200;218;60;;
147;Adecoagro - Monte Alegre;82;106;3,4;42,9;8,5;3;53,5;115;173;259,5;;;
148;Adecoagro - Ivinhema;141,2;;32,2;69,8;13,5;45,6;24,9;181,6;189,3;278;91,8;;
149;Adecoagro - Angélica;149;;37,2;48,2;15,5;19,1;24,9;154,3;223,5;312,6;132,5;;
