Benchmarking CTC - Safra 2025 - Capacidade diária colhedoras cana crua.;;;;;;;;;;;;;;
;Participante;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Jan;Fev;Média
93;Bambuí Bioenergia;;342;516;494;417;447;385;303;;;;;
94;Balbo - Santo Antonio;;354;463;420;419;445;437;355;394;;;;
95;Participante 95;;505;642;593;637;610;626;561;610;;;;
96;Aroeira;683;756;909;866;890;812;753;502;;;;;
97;Araporã Bioenergia;551;556;;532;620;534;503;401;;;;;
98;Aralco - Nova Aralco;;261;543;606;625;632;569;546;;;;;
99;Alcoeste;;505;686;656;681;659;615;484;430;;;;
100;Agropéu;;;451;451;454;457;402;367;425;;;;
101;Participante 101;367;;476;439;557;484;472;441;418;416;;;
102;Adecoagro - Monte Alegre;122;476;519;484;350;467;399;370;;;;;
103;Adecoagro - Ivinhema;707;;809;748;857;854;848;947;;861;1045;;
104;Adecoagro - Angélica;706;;809;748;857;854;848;947;;861;1045;;
