Benchmarking CTC - Impureza Mineral (kg/tc) - Safra 2025 (própria)  ;;;;;;;;;;;;;;
;Participante;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Jan;Fev;Média
63;Raízen - Caarapó;;2,09;1,64;2,08;1,62;1,59;1,24;1,52;1,47;1,7;;;
64;Raízen - Bonfim;;1,74;1,38;1,62;1,27;1,24;1,2;1,22;;;;;
65;Raízen - Benálcool;;2,19;1,87;1,82;1,37;1,33;1,14;1,39;1,91;1,7;;;
66;Raízen - Araraquara;;1,4;1,33;1,6;1,41;1,28;1,18;;;;;;
67;Pedra - Ipê;;0,88;0,93;1,06;0,7;0,57;0,54;0,67;;;;;
68;Pedra - Da Pedra;;0,47;0,44;0,46;0,43;0,38;0,32;0,37;;;;;
69;Pedra - Cedro;;;;;;0,76;0,75;0,86;;;;;
70;Pedra - Buriti;;;0,57;0,47;0,45;0,4;0,49;0,57;;;;;
71;Nova América - Tarumã;4,94;0,86;0,82;1,17;0,97;0,71;0,52;0,7;1,05;0,9;;;
72;Nardini - Vista Alegre;;1,5;0,97;1,2;0,68;0,56;0,61;1,17;2,07;;;;
73;Nardini - Aporé;;0,78;0,61;0,66;0,5;0,42;0,46;0,7;;;;;
74;Participante 74;;;1,07;1,08;0,93;1,04;0,95;0,41;;;;;
75;Melhoramentos - VDP;1,34;1,63;1,41;1,71;1,14;0,8;0,91;1,08;1,37;1,28;;;
76;Melhoramentos - NL;1,15;1,74;1,22;1,53;0,63;1;0,82;1,42;1,55;1,91;;;
77;Melhoramentos - JS;;1,27;1,38;1,52;1,15;1,22;1,08;1,76;1,82;1,6;;;
78;Londra;0,56;0,66;0,54;0,6;0,68;0,76;0,52;0,75;0,96;1,03;;;
79;Lins;0,87;0,99;0,81;0,94;0,72;0,66;0,55;0,81;0,81;;;;
80;Laguna;0,86;0,8;0,7;0,68;0,55;0,6;0,36;0,43;0,69;0,67;;;
81;Jalles - Santa Vitória;;0,83;0,65;0,62;0,56;0,51;0,53;0,71;;;;;
82;Jalles - Otávio Lage;;1,37;0,94;0,87;0,78;0,72;0,77;0,9;1,59;;;;
83;Jalles - Matriz;;1,2;0,87;0,95;0,88;0,84;0,84;0,83;1,14;;;;
84;Jacarezinho;;0,78;0,82;1,11;0,85;0,73;0,68;0,78;1,3;1;;;
85;Itajobi;;1,14;1,08;1,18;0,69;0,61;0,51;1,08;2,31;;;;
86;Ipiranga - Passos;;0,46;0,44;0,37;0,38;0,38;0,46;0,51;0,58;0,25;;;
87;Ipiranga - Mococa;;0,89;0,89;0,68;0,63;0,69;0,35;0,91;1,16;1,26;;;
88;Ipiranga - Iacanga;;1;1,02;1,15;0,87;0,81;0,35;0,96;1,2;;;;
89;Ipiranga - Descalvado;0,5;0,42;0,38;0,53;0,35;0,35;0,35;0,51;;;;;
90;Guaira;;5,97;5,06;4,77;0,7;0,72;4,77;5,74;;;;;
91;Goiasa;;0,63;0,69;0,6;0,56;0,56;0,57;0,56;0,82;;;;
92;Ferrari;;0,78;0,62;0,67;0,49;0,39;0,43;0,62;1,11;;;;
93;Ester;;0,98;0,66;0,79;0,43;0,41;0,55;0,84;;;;;
94;Energética Sta Helena;1,02;1,09;0,84;0,81;0,55;0,5;0,34;0,52;0,67;0,99;;;
95;Energética Serranópolis;;1,09;0,73;1,06;0,85;0,58;;;;;;;
96;Diana;1,01;1,08;0,96;1,04;0,86;0,78;0,76;0,96;1,4;1,27;;;
97;Denusa;;1,13;0,69;0,59;0,64;0,54;0,71;0,67;0,89;;;;
98;Participante 98;;1,04;0,86;0,67;0,46;0,35;0,46;0,6;0,88;;;;
99;Participante 99;;1,04;0,69;0,52;0,43;0,4;0,47;0,63;1,3;;;;
100;Della Coletta;;1,35;1,08;1,4;1,09;1,04;0,81;1,13;1,59;;;;
101;Dacalda;1,34;1,52;1,57;1,93;1,51;1,51;0,99;1,3;1,79;1,69;;;
102;Da Mata;;;1,24;1,49;1,14;0,93;0,85;1,19;1,56;1,73;;;
103;Cox Energy - Coxag;;;1,09;1,33;0,75;0,68;0,92;1,41;;;;;
104;Coruripe - Lim. Oeste;;0,7;0,48;0,51;0,31;0,3;0,39;0,49;0,68;;;;
105;Coruripe - Iturama;;1,22;1,15;0,76;0,61;0,43;0,54;0,51;0,74;;;;
106;Coruripe - Carneirinho;;;0,63;0,6;0,3;0,25;0,37;0,77;1,52;;;;
107;Colombo - Santa Albertina;;1,34;0,86;0,82;0,59;0,57;0,56;1,05;1,46;;;;
108;Colombo - Palestina;;0,71;0,71;0,75;0,61;0,48;0,54;0,76;1,1;;;;
109;Colombo - Ariranha;;1,07;0,78;0,7;0,52;0,5;0,66;0,75;0,98;1,03;;;
110;Cofco - Sebastianópolis;;1,14;0,79;0,82;0,61;0,47;0,5;0,75;1,3;1,3;;;
