ELIMINADOR DE SOQUEIRA;;;;;CORRETIVO (CM);; CALCÁRIO ; GESSO ; FOSFATO ; DOLOGESSO ;;;CORRETIVO (TR);; CALCÁRIO ; GESSO ; FOSFATO ; DOLOGESSO ;;;GRADE;; PESADA ; MÉDIA ; LEVE ;;;ARAÇÃO;;;;;SUBSOLAGEM;;;;;SULCAÇÃO;; ADUBO ; TORTA ; DISTRIB. TORTA ;;;COBRIÇÃO;;;;;CORTE MUDA MEC;;;;;PLANTIO MECANIZADO;;;;;UNIPORT (Pulverizador);; Barra ; Pingente ; Linha Mãe ;;;HERBIPLUS;; Barra ; Linha Mãe ; Carreador ; Bordadura ; Curva/Árvore ;;;UNIPORT (Adubação);; Mineral ; Uréia ;;;TRATOR (Adubação);;Mineral;Uréia;;;TRATOR (Aduba+C.Soq.);;Mineral;Uréia;;;QUEBRA LOMBO (Adub+Herb);; Área Total ; Linha Mãe ;;;CORTE DE SOQUEIRA;;;;;ENLEIRAMENTO PALHA;;;;;MOTOBOMBA - VINHAÇA C.SOCA;;;;;MOTOBOMBA - VINHAÇA PLANTIO;;;;;MOTOBOMBA - SALVAMENTO;;;;;PIVÔ;;;;;;;;;;
Troca de Turno;hr; 0,40 ;;;Troca de Turno;hr; 0,50 ; 0,50 ; 0,50 ; 0,50 ;;;Troca de Turno;hr; 0,50 ; 0,50 ; 0,50 ; 0,50 ;;;Troca de Turno;hr; 0,40 ; 0,50 ; 0,40 ;;;Troca de Turno;hr; 0,40 ;;;Troca de Turno;hr; 0,40 ;;;Troca de Turno;hr; 0,20 ; 0,20 ; 0,20 ;;;Troca de Turno;hr; 0,20 ;;;Troca de Turno;hr; 0,50 ;;;Troca de Turno;hr; 0,20 ;;;Troca de Turno;hr; 0,30 ; 0,30 ; 0,30 ;;;Troca de Turno;hr; 0,30 ; 0,30 ; 0,30 ; 0,30 ; 0,30 ;;;Troca de Turno;hr; 0,50 ; 0,50 ;;;Troca de Turno;hr; 0,20 ; 0,20 ;;;Troca de Turno;hr; 0,50 ; 0,50 ;;;Troca de Turno;hr; 0,60 ; 0,60 ;;;Troca de Turno;hr; 0,50 ;;;Troca de Turno;hr; -   ;;;Manutenção de Rede;hr; 1,00 ;;;Manutenção de Rede;hr; 1,00 ;;;Manutenção de Rede;hr; 1,00 ;;;Troca de Turno;hr;;;;;;;;;
Janela;hr; -   ;;;Janela;hr; -   ; -   ; -   ; -   ;;;Janela;hr; -   ; -   ; -   ; -   ;;;Janela;hr; -   ; -   ; -   ;;;Janela;hr; -   ;;;Janela;hr; -   ;;;Janela;hr; -   ; -   ; -   ;;;Janela;hr; -   ;;;Outras Paradas;hr; 2,00 ;;;Outras Paradas;hr; 2,00 ;;;Janela;hr; -   ; -   ; -   ;;;Janela;hr; -   ; -   ; -   ; -   ; -   ;;;Janela;hr; -   ; -   ;;;Janela;hr; -   ; -   ;;;Janela;hr; -   ; -   ;;;Janela;hr; -   ; -   ;;;Janela;hr; -   ;;;Janela;hr; -   ;;;;hr; -   ;;;;hr; -   ;;;;hr; -   ;;;;hr;;;;;;;;;
Mudança c/ Prancha;hr; -   ;;;Mudança c/ Prancha;hr; 0,51 ; 0,51 ; 0,51 ; 0,51 ;;;Mudança c/ Prancha;hr; -   ; -   ; -   ; -   ;;;Mudança c/ Prancha;hr; -   ; -   ; -   ;;;Mudança c/ Prancha;hr; -   ;;;Mudança c/ Prancha;hr; -   ;;;Mudança c/ Prancha;hr; -   ; -   ; -   ;;;Mudança c/ Prancha;hr; -   ;;;Mudança c/ Prancha;hr; 1,00 ;;;Mudança c/ Prancha;hr; -   ;;;Mudança c/ Prancha;hr; -   ; -   ; -   ;;;Mudança c/ Prancha;hr; -   ; -   ; -   ; -   ; -   ;;;Mudança c/ Prancha;hr; 1,00 ; 1,00 ;;;Mudança c/ Prancha;hr; -   ; -   ;;;Mudança c/ Prancha;hr; -   ; -   ;;;Mudança c/ Prancha;hr; -   ; -   ;;;Mudança c/ Prancha;hr; -   ;;;Mudança c/ Prancha;hr; 0,50 ;;;Mudança de Frente;hr; 3,00 ;;;Mudança de Frente;hr; 2,30 ;;;Mudança de Frente;hr; 1,60 ;;;Mudança c/ Prancha;hr;;;;;;;;;
Abastec/Lubrificação;hr; 0,20 ;;;Abastec/Lubrificação;hr; 0,10 ; 0,10 ; 0,10 ; 0,10 ;;;Abastec/Lubrificação;hr; 0,30 ; 0,30 ; 0,30 ; 0,30 ;;;Abastec/Lubrificação;hr; 0,20 ; 0,20 ; 0,20 ;;;Abastec/Lubrificação;hr; 0,30 ;;;Abastec/Lubrificação;hr; 0,30 ;;;Abastec/Lubrificação;hr; 0,15 ; 0,15 ; 0,15 ;;;Abastec/Lubrificação;hr; 0,15 ;;;Abastec/Lubrificação;hr; 1,00 ;;;Abastec/Lubrificação;hr; 0,90 ;;;Abastec/Lubrificação;hr; 0,30 ; 0,30 ; 0,30 ;;;Abastec/Lubrificação;hr; 0,30 ; 0,30 ; 0,30 ; 0,30 ; 0,30 ;;;Abastec/Lubrificação;hr; 0,28 ; 0,28 ;;;Abastec/Lubrificação;hr; 0,20 ; 0,20 ;;;Abastec/Lubrificação;hr; 0,20 ; 0,20 ;;;Abastec/Lubrificação;hr; 0,10 ; 0,10 ;;;Abastec/Lubrificação;hr; 0,20 ;;;Abastec/Lubrificação;hr; 0,20 ;;;Abastec/Lubrificação;hr; 0,30 ;;;Abastec/Lubrificação;hr; 0,30 ;;;Abastec/Lubrificação;hr; 0,30 ;;;Abastec/Lubrificação;hr;;;;;;;;;
Limpeza do Equip./Embucha;hr; 1,00 ;;;Limpeza do Equip.;hr; 0,25 ; 0,25 ; 0,25 ; 0,25 ;;;Limpeza do Equip.;hr; 0,30 ; 0,30 ; 0,30 ; 0,30 ;;;Limpeza do Equip.;hr; 0,60 ; 0,60 ; 0,60 ;;;Limpeza do Equip.;hr; 0,75 ;;;Limpeza do Equip.;hr; 0,75 ;;;Limpeza do Equip.;hr; 0,15 ; 0,15 ; 0,15 ;;;Limpeza do Equip.;hr; 0,15 ;;;Aferição Equip./Dose;hr; 0,90 ;;;Limpeza do Equip.;hr; 0,15 ;;;Limpeza do Equip.;hr; 0,50 ; 0,50 ; 0,50 ;;;Limpeza do Equip.;hr; 0,50 ; 0,50 ; 0,50 ; 0,50 ; 0,50 ;;;Limpeza do Equip.;hr; 0,71 ; 0,71 ;;;Limpeza do Equip.;hr; 0,20 ; 0,20 ;;;Limpeza do Equip.;hr; 0,20 ; 0,20 ;;;Limpeza do Equip.;hr; 0,50 ; 0,50 ;;;Limpeza do Equip.;hr; 0,20 ;;;Limpeza do Equip.;hr; 0,20 ;;;Limpeza do Equip.;hr; -   ;;;Limpeza do Equip.;hr; -   ;;;Limpeza do Equip.;hr; -   ;;;Limpeza do Equip.;hr;;;;;;;;;
Check list;hr; 0,10 ;;;Check list;hr; 0,10 ; 0,10 ; 0,10 ; 0,10 ;;;Check list;hr; 0,10 ; 0,10 ; 0,10 ; 0,10 ;;;Check list;hr; 0,10 ; 0,10 ; 0,10 ;;;Check list;hr; 0,10 ;;;Check list;hr; 0,10 ;;;Check list;hr; 0,10 ; 0,10 ; 0,10 ;;;Check list;hr; 0,10 ;;;Check list;hr; 0,10 ;;;Check list;hr; 0,10 ;;;Check list;hr; 0,10 ; 0,10 ; 0,10 ;;;Check list;hr; 0,10 ; 0,10 ; 0,10 ; 0,10 ; 0,10 ;;;Check list;hr; 0,10 ; 0,10 ;;;Check list;hr; 0,10 ; 0,10 ;;;Check list;hr; 0,10 ; 0,10 ;;;Check list;hr; 0,10 ; 0,10 ;;;Check list;hr; 0,10 ;;;Check list;hr; 0,10 ;;;Check list;hr; -   ;;;Check list;hr; -   ;;;Check list;hr; -   ;;;Check list;hr;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PARADAS MOTOR LIG;hr; 0,10 ;;;PARADAS MOTOR LIG;hr; 0,14 ; 0,14 ; 0,14 ; 0,14 ;;;PARADAS MOTOR LIG;hr; 1,00 ; 1,00 ; 1,00 ; 1,00 ;;;PARADAS MOTOR LIG;hr; 0,30 ; 0,30 ; 0,30 ;;;PARADAS MOTOR LIG;hr; 0,60 ;;;PARADAS MOTOR LIG;hr; 0,60 ;;;PARADAS MOTOR LIG;hr; 1,00 ; 1,00 ; 1,00 ;;;PARADAS MOTOR LIG;hr; 1,00 ;;;PARADAS MOTOR LIG;hr; 1,00 ;;;PARADAS MOTOR LIG;hr; 1,00 ;;;PARADAS MOTOR LIG;hr; 0,80 ; 0,80 ; 0,80 ;;;PARADAS MOTOR LIG;hr; 0,80 ; 0,80 ; 0,80 ; 0,80 ; 0,80 ;;;PARADAS MOTOR LIG;hr; 1,60 ; 1,60 ;;;PARADAS MOTOR LIG;hr; 1,00 ; 1,00 ;;;PARADAS MOTOR LIG;hr; 1,00 ; 1,00 ;;;PARADAS MOTOR LIG;hr; 1,00 ; 1,00 ;;;PARADAS MOTOR LIG;hr; 1,00 ;;;PARADAS MOTOR LIG;hr; -   ;;;PARADAS MOTOR LIG;hr; -   ;;;PARADAS MOTOR LIG;hr; -   ;;;PARADAS MOTOR LIG;hr; -   ;;;PARADAS MOTOR LIG;hr; -   ;;;;;;;;
Aferição Equip./Dose;hr; 0,10 ;;;Aferição Equip./Dose;hr; 0,14 ; 0,14 ; 0,14 ; 0,14 ;;;Aferição Equip./Dose;hr; 1,00 ; 1,00 ; 1,00 ; 1,00 ;;;Aferição Equip./Dose;hr; 0,30 ; 0,30 ; 0,30 ;;;Aferição Equip./Dose;hr; 0,60 ;;;Aferição Equip./Dose;hr; 0,60 ;;;Aferição Equip./Dose;hr; 1,00 ; 1,00 ; 1,00 ;;;Aferição Equip./Dose;hr; 1,00 ;;;Limpeza do Equip.;hr; 1,00 ;;;Aferição Equip./Dose;hr; 1,00 ;;;Aferição Equip./Dose;hr; 0,80 ; 0,80 ; 0,80 ;;;Aferição Equip./Dose;hr; 0,80 ; 0,80 ; 0,80 ; 0,80 ; 0,80 ;;;Aferição Equip./Dose;hr; 1,60 ; 1,60 ;;;Aferição Equip./Dose;hr; 1,00 ; 1,00 ;;;Aferição Equip./Dose;hr; 1,00 ; 1,00 ;;;Aferição Equip./Dose;hr; 1,00 ; 1,00 ;;;Aferição Equip./Dose;hr; 1,00 ;;;Aferição Equip./Dose;hr; -   ;;;Arremate/Recalc;hr; -   ;;;Arremate/Recalc;hr; -   ;;;Arremate/Recalc;hr; -   ;;;Aferição Equip./Dose;hr;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
