ELIMINADOR DE SOQUEIRA;;;;;CORRETIVO (CM);; CALCÁRIO ; GESSO ; FOSFATO ; DOLOGESSO ;;;CORRETIVO (TR);; CALCÁRIO ; GESSO ; FOSFATO ; DOLOGESSO ;;;GRADE;; PESADA ; MÉDIA ; LEVE ;;;ARAÇÃO;;;;;SUBSOLAGEM;;;;;SULCAÇÃO;; ADUBO ; TORTA ; DISTRIB. TORTA ;;;COBRIÇÃO;;;;;CORTE MUDA MEC;;;;;PLANTIO MECANIZADO;;;;;UNIPORT (Pulverizador);; Barra ; Pingente ; Linha Mãe ;;;HERBIPLUS;; Barra ; Linha Mãe ; Carreador ; Bordadura ; Curva/Árvore ;;;UNIPORT (Adubação);; Mineral ; Uréia ;;;TRATOR (Adubação);;Mineral;Uréia;;;TRATOR (Aduba+C.Soq.);;Mineral;Uréia;;;QUEBRA LOMBO (Adub+Herb);; Área Total ; Linha Mãe ;;;CORTE DE SOQUEIRA;;;;;ENLEIRAMENTO PALHA;;;;;MOTOBOMBA - VINHAÇA C.SOCA;;;;;MOTOBOMBA - VINHAÇA PLANTIO;;;;;MOTOBOMBA - SALVAMENTO;;;;;PIVÔ;;;;;;;;;;
MANOBRA;hr; -   ;;;MANOBRA;hr; -   ; -   ; -   ; -   ;;;MANOBRA;hr; 3,02 ; 3,27 ; 3,61 ; 3,42 ;;;MANOBRA;hr; 1,05 ; 1,33 ; 1,68 ;;;MANOBRA;hr; 0,51 ;;;MANOBRA;hr; 0,48 ;;;MANOBRA;hr; 0,56 ; 0,52 ; 1,31 ;;;MANOBRA;hr; 0,58 ;;;MANOBRA;hr; 0,21 ;;;MANOBRA;hr; 0,36 ;;;MANOBRA;hr; 2,37 ; 1,94 ; 0,57 ;;;MANOBRA;hr; 1,51 ; 0,50 ; -   ; -   ; -   ;;;MANOBRA;hr; 0,73 ; 0,79 ;;;MANOBRA;hr; 0,12 ; 0,12 ;;;MANOBRA;hr; 0,11 ; 0,12 ;;;MANOBRA;hr; 0,62 ; 0,62 ;;;MANOBRA;hr; 0,10 ;;;MANOBRA;hr; 0,30 ;;;MANOBRA;hr; -   ;;;MANOBRA;hr; -   ;;;MANOBRA;hr; -   ;;;MANOBRA;hr; -   ;;;;;;;;
Tempo de Manobra;min; -   ;;;Tempo de Manobra;min;;;;;;;Tempo de Manobra;min; 1,00 ; 1,00 ; 1,00 ; 1,00 ;;;Tempo de Manobra;min; 1,00 ; 1,00 ; 1,00 ;;;Tempo de Manobra;min; 1,00 ;;;Tempo de Manobra;min; 1,00 ;;;Tempo de Manobra;min; 1,00 ; 1,00 ; 1,00 ;;;Tempo de Manobra;min; 1,00 ;;;Tempo de Manobra;min; 1,00 ;;;Tempo de Manobra;min; 1,00 ;;;Tempo de Manobra;min; 0,30 ; 0,30 ; 0,30 ;;;Tempo de Manobra;min; 0,30 ; 0,30 ; -   ; -   ; -   ;;;Tempo de Manobra;min; 0,20 ; 0,20 ;;;Tempo de Manobra;min; 0,10 ; 0,10 ;;;Tempo de Manobra;min; 0,10 ; 0,10 ;;;Tempo de Manobra;min; 1,00 ; 1,00 ;;;Tempo de Manobra;min; 0,10 ;;;Tempo de Manobra;min; 0,80 ;;;Tempo de Manobra;min;;;;Tempo de Manobra;min;;;;Tempo de Manobra;min;;;;Tempo de Manobra;min;;;;;;;;;
Qtde Manobra/Hora;#; 2,13 ;;;Qtde Manobra/Hora;#; 26,67 ; 26,67 ; 26,67 ; 26,67 ;;;Qtde Manobra/Hora;#; 21,33 ; 21,33 ; 21,33 ; 21,33 ;;;Qtde Manobra/Hora;#; 4,67 ; 6,07 ; 7,78 ;;;Qtde Manobra/Hora;#; 2,50 ;;;Qtde Manobra/Hora;#; 2,44 ;;;Qtde Manobra/Hora;#; 2,67 ; 2,67 ; 9,60 ;;;Qtde Manobra/Hora;#; 2,40 ;;;Qtde Manobra/Hora;#; 1,33 ;;;Qtde Manobra/Hora;#; 2,24 ;;;Qtde Manobra/Hora;#; 50,00 ; 37,33 ; 8,67 ;;;Qtde Manobra/Hora;#; 24,00 ; 6,93 ; 4,18 ; 16,00 ; 5,56 ;;;Qtde Manobra/Hora;#; 32,00 ; 32,00 ;;;Qtde Manobra/Hora;#; 5,20 ; 5,20 ;;;Qtde Manobra/Hora;#; 5,20 ; 5,20 ;;;Qtde Manobra/Hora;#; 2,93 ; 2,93 ;;;Qtde Manobra/Hora;#; 4,27 ;;;Qtde Manobra/Hora;#; 4,80 ;;;Qtde Manobra/Hora;#; 14,00 ;;;Qtde Manobra/Hora;#; 7,40 ;;;Qtde Manobra/Hora;#; 0,91 ;;;Qtde Manobra/Hora;#; 7,47 ;;;;;;;;
Manobra/hora;hr; -   ;;;Manobra/hora;hr; -   ; -   ; -   ; -   ;;;Manobra/hora;hr; 0,36 ; 0,36 ; 0,36 ; 0,36 ;;;Manobra/hora;hr; 0,08 ; 0,10 ; 0,13 ;;;Manobra/hora;hr; 0,04 ;;;Manobra/hora;hr; 0,04 ;;;Manobra/hora;hr; 0,04 ; 0,04 ; 0,16 ;;;Manobra/hora;hr; 0,04 ;;;Manobra/hora;hr; 0,02 ;;;Manobra/hora;hr; 0,04 ;;;Manobra/hora;hr; 0,25 ; 0,19 ; 0,04 ;;;Manobra/hora;hr; 0,12 ; 0,03 ; -   ; -   ; -   ;;;Manobra/hora;hr; 0,11 ; 0,11 ;;;Manobra/hora;hr; 0,01 ; 0,01 ;;;Manobra/hora;hr; 0,01 ; 0,01 ;;;Manobra/hora;hr; 0,05 ; 0,05 ;;;Manobra/hora;hr; 0,01 ;;;Manobra/hora;hr; 0,06 ;;;Manobra/hora;hr; -   ;;;Manobra/hora;hr; -   ;;;Manobra/hora;hr; -   ;;;Manobra/hora;hr; -   ;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RENDIMENTO;ha/hr; 0,96 ;;;RENDIMENTO;ha/hr; 12,00 ; 12,00 ; 12,00 ; 12,00 ;;;RENDIMENTO;ha/hr; 9,60 ; 9,60 ; 9,60 ; 9,60 ;;;RENDIMENTO;ha/hr; 2,10 ; 2,73 ; 3,50 ;;;RENDIMENTO;ha/hr; 1,13 ;;;RENDIMENTO;ha/hr; 1,10 ;;;RENDIMENTO;ha/hr; 1,20 ; 1,20 ; 4,32 ;;;RENDIMENTO;ha/hr; 1,08 ;;;RENDIMENTO;ha/hr; 0,60 ;;;RENDIMENTO;ha/hr; 1,01 ;;;RENDIMENTO;ha/hr; 22,50 ; 16,80 ; 3,90 ;;;RENDIMENTO;ha/hr; 10,80 ; 3,12 ; 1,88 ; 7,20 ; 2,50 ;;;RENDIMENTO;ha/hr; 14,40 ; 14,40 ;;;RENDIMENTO;ha/hr; 2,34 ; 2,34 ;;;RENDIMENTO;ha/hr; 2,34 ; 2,34 ;;;RENDIMENTO;ha/hr; 1,32 ; 1,32 ;;;RENDIMENTO;ha/hr; 1,92 ;;;RENDIMENTO;ha/hr; 2,16 ;;;RENDIMENTO;ha/hr; 1,01 ;;;RENDIMENTO;ha/hr; 0,53 ;;;RENDIMENTO;ha/hr; 0,35 ;;;RENDIMENTO;ha/hr; 3,36 ;;;;;;;;
Velocidade;km/hr; 4,00 ;;;Velocidade;km/hr; 10,00 ; 10,00 ; 10,00 ; 10,00 ;;;Velocidade;km/hr; 8,00 ; 8,00 ; 8,00 ; 8,00 ;;;Velocidade;km/hr; 6,00 ; 6,50 ; 7,00 ;;;Velocidade;km/hr; 5,00 ;;;Velocidade;km/hr; 5,00 ;;;Velocidade;km/hr; 5,00 ; 5,00 ; 9,00 ;;;Velocidade;km/hr; 4,50 ;;;Velocidade;km/hr; 2,50 ;;;Velocidade;km/hr; 4,20 ;;;Velocidade;km/hr; 10,00 ; 10,00 ; 10,00 ;;;Velocidade;km/hr; 8,00 ; 8,00 ; 8,00 ; 8,00 ; 5,00 ;;;Velocidade;km/hr; 12,00 ; 12,00 ;;;Velocidade;km/hr; 6,00 ; 6,00 ;;;Velocidade;km/hr; 6,00 ; 6,00 ;;;Velocidade;km/hr; 5,50 ; 5,50 ;;;Velocidade;km/hr; 8,00 ;;;Velocidade;km/hr; 9,00 ;;;Qtde Implemento;hidro/motor; 2,00 ;;;Qtde Implemento;hidro/motor; 2,00 ;;;Qtde Implemento;hidro/motor; 2,00 ;;;Velocidade;km/hr; 7,00 ;;;;;;;;
Faixa de Aplicação;mts; 2,40 ;;;Faixa de Aplicação;mts; 12,00 ; 12,00 ; 12,00 ; 12,00 ;;;Faixa de Aplicação;mts; 12,00 ; 12,00 ; 12,00 ; 12,00 ;;;Faixa de Aplicação;mts; 3,50 ; 4,20 ; 5,00 ;;;Faixa de Aplicação;mts; 2,25 ;;;Faixa de Aplicação;mts; 2,20 ;;;Faixa de Aplicação;mts; 2,40 ; 2,40 ; 4,80 ;;;Faixa de Aplicação;mts; 2,40 ;;;Faixa de Aplicação;mts; 2,40 ;;;Faixa de Aplicação;mts; 2,40 ;;;Faixa de Aplicação;mts; 22,50 ; 16,80 ; 3,90 ;;;Faixa de Aplicação;mts; 13,50 ; 3,90 ; 2,35 ; 9,00 ; 5,00 ;;;Faixa de Aplicação;mts; 12,00 ; 12,00 ;;;Faixa de Aplicação;mts; 3,90 ; 3,90 ;;;Faixa de Aplicação;mts; 3,90 ; 3,90 ;;;Faixa de Aplicação;mts; 2,40 ; 2,40 ;;;Faixa de Aplicação;mts; 2,40 ;;;Faixa de Aplicação;mts; 2,40 ;;;Faixa de Aplicação;m/hidro; 72,00 ;;;Faixa de Aplicação;m/hidro; 72,00 ;;;Faixa de Aplicação;m/hidro; 72,00 ;;;Faixa de Aplicação;mts; 4,80 ;;;;;;;;
Tiro Médio;mts; 450,00 ;;;Tiro Médio;mts; 450,00 ; 450,00 ; 450,00 ; 450,00 ;;;Tiro Médio;mts; 450,00 ; 450,00 ; 450,00 ; 450,00 ;;;Tiro Médio;mts; 450,00 ; 450,00 ; 450,00 ;;;Tiro Médio;mts; 450,00 ;;;Tiro Médio;mts; 450,00 ;;;Tiro Médio;mts; 450,00 ; 450,00 ; 450,00 ;;;Tiro Médio;mts; 450,00 ;;;Tiro Médio;mts; 450,00 ;;;Tiro Médio;mts; 450,00 ;;;Tiro Médio;mts; 450,00 ; 450,00 ; 450,00 ;;;Tiro Médio;mts; 450,00 ; 450,00 ; 450,00 ; 450,00 ; 450,00 ;;;Tiro Médio;mts; 450,00 ; 450,00 ;;;Tiro Médio;mts; 450,00 ; 450,00 ;;;Tiro Médio;mts; 450,00 ; 450,00 ;;;Tiro Médio;mts; 450,00 ; 450,00 ;;;Tiro Médio;mts; 450,00 ;;;Tiro Médio;mts; 450,00 ;;;Velocidade;m/hr; 70,00 ;;;Velocidade;m/hr; 37,00 ;;;Velocidade;m/hr; 24,00 ;;;Tiro Médio;mts; 450,00 ;;;;;;;;
Tempo por Tiro;min; 6,75 ;;;Tempo por Tiro;min; 2,70 ; 2,70 ; 2,70 ; 2,70 ;;;Tempo por Tiro;min; 3,38 ; 3,38 ; 3,38 ; 3,38 ;;;Tempo por Tiro;min; 4,50 ; 4,15 ; 3,86 ;;;Tempo por Tiro;min; 5,40 ;;;Tempo por Tiro;min; 5,40 ;;;Tempo por Tiro;min; 5,40 ; 5,40 ; 3,00 ;;;Tempo por Tiro;min; 6,00 ;;;Tempo por Tiro;min; 10,80 ;;;Tempo por Tiro;min; 6,43 ;;;Tempo por Tiro;min; 2,70 ; 2,70 ; 2,70 ;;;Tempo por Tiro;min; 3,38 ; 3,38 ; 3,38 ; 3,38 ; 5,40 ;;;Tempo por Tiro;min; 2,25 ; 2,25 ;;;Tempo por Tiro;min; 4,50 ; 4,50 ;;;Tempo por Tiro;min; 4,50 ; 4,50 ;;;Tempo por Tiro;min; 4,91 ; 4,91 ;;;Tempo por Tiro;min; 3,38 ;;;Tempo por Tiro;min; 3,00 ;;;Tiro Médio;mts; 380,00 ;;;Tiro Médio;mts; 380,00 ;;;Tiro Médio;mts; 380,00 ;;;Tempo por Tiro;min; 3,86 ;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tempo por Tiro;min; 325,71 ;;;Tempo por Tiro;min; 616,22 ;;;Tempo por Tiro;min; 950,00 ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vazão;m³/h; 108,00 ;;;Vazão;m³/h; 108,00 ;;;Vazão;m³/h; 108,00 ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lâmina Bruta;mm/ha; 21,43 ;;;Lâmina Bruta;mm/ha; 40,54 ;;;Lâmina Bruta;mm/ha; 62,50 ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Eficiência;%;80,0%;;;Eficiência;%;80,0%;;;Eficiência;%;80,0%;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lâmina Efetiva;mm/ha; 17,14 ;;;Lâmina Efetiva;mm/ha; 32,43 ;;;Lâmina Efetiva;mm/ha; 50,00 ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DESLOCAMENTO;hr; 1,00 ;;;DESLOCAMENTO;hr; -   ; -   ; -   ; -   ;;;DESLOCAMENTO;hr; 1,00 ; 1,00 ; 1,00 ; 1,00 ;;;DESLOCAMENTO;hr; 1,00 ; 1,00 ; 1,00 ;;;DESLOCAMENTO;hr; 1,00 ;;;DESLOCAMENTO;hr; 1,00 ;;;DESLOCAMENTO;hr; 0,50 ; 0,50 ; 0,50 ;;;DESLOCAMENTO;hr; 1,00 ;;;DESLOCAMENTO;hr; 0,50 ;;;DESLOCAMENTO;hr; 0,50 ;;;DESLOCAMENTO;hr; 2,00 ; 2,00 ; 2,00 ;;;DESLOCAMENTO;hr; 2,00 ; 2,00 ; 1,00 ; 2,00 ; 2,00 ;;;DESLOCAMENTO;hr; 2,00 ; 2,00 ;;;DESLOCAMENTO;hr; 2,00 ; 2,00 ;;;DESLOCAMENTO;hr; 1,00 ; 1,00 ;;;DESLOCAMENTO;hr; 1,50 ; 1,50 ;;;DESLOCAMENTO;hr; 2,00 ;;;DESLOCAMENTO;hr; 0,50 ;;;DESLOCAMENTO;hr; -   ;;;DESLOCAMENTO;hr; -   ;;;DESLOCAMENTO;hr; -   ;;;DESLOCAMENTO;hr; -   ;;;;;;;;
Deslocamento;hr; 1,00 ;;;Deslocamento;hr; -   ; -   ; -   ; -   ;;;Deslocamento;hr; 1,00 ; 1,00 ; 1,00 ; 1,00 ;;;Deslocamento;hr; 1,00 ; 1,00 ; 1,00 ;;;Deslocamento;hr; 1,00 ;;;Deslocamento;hr; 1,00 ;;;Deslocamento;hr; 0,50 ; 0,50 ; 0,50 ;;;Deslocamento;hr; 1,00 ;;;Deslocamento;hr; 0,50 ;;;Deslocamento;hr; 0,50 ;;;Deslocamento;hr; 2,00 ; 2,00 ; 2,00 ;;;Deslocamento;hr; 2,00 ; 2,00 ; 1,00 ; 2,00 ; 2,00 ;;;Deslocamento;hr; 2,00 ; 2,00 ;;;Deslocamento;hr; 2,00 ; 2,00 ;;;Desloca/Muda;hr; 1,00 ; 1,00 ;;;Desloca/Muda;hr; 1,50 ; 1,50 ;;;Deslocamento;hr; 2,00 ;;;Deslocamento;hr; 0,50 ;;;Deslocamento;hr;;;;Deslocamento;hr;;;;Deslocamento;hr;;;;Deslocamento;hr;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INSUMOS;hr; -   ;;;INSUMOS;hr; 3,50 ; 2,50 ; 1,26 ; 1,95 ;;;INSUMOS;hr; 3,68 ; 2,73 ; 1,44 ; 2,16 ;;;INSUMOS;hr; -   ; -   ; -   ;;;INSUMOS;hr; 1,34 ;;;INSUMOS;hr; 1,75 ;;;INSUMOS;hr; 2,67 ; 3,53 ; 6,27 ;;;INSUMOS;hr; 0,76 ;;;INSUMOS;hr; -   ;;;INSUMOS;hr; 3,12 ;;;INSUMOS;hr; 2,33 ; 1,89 ; 0,54 ;;;INSUMOS;hr; 1,32 ; 0,46 ; 0,29 ; 0,96 ; 0,38 ;;;INSUMOS;hr; 2,05 ; 1,40 ;;;INSUMOS;hr; 0,82 ; 0,47 ;;;INSUMOS;hr; 0,82 ; 0,47 ;;;INSUMOS;hr; 0,60 ; 0,60 ;;;INSUMOS;hr; 1,36 ;;;INSUMOS;hr; -   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DESLOCAMENTO OPER;hr; -   ;;;DESLOCAMENTO OPER;hr; 5,26 ; 3,75 ; 1,89 ; 2,92 ;;;DESLOCAMENTO OPER;hr; 5,53 ; 4,09 ; 2,15 ; 3,25 ;;;DESLOCAMENTO OPER;hr; -   ; -   ; -   ;;;DESLOCAMENTO OPER;hr; 2,00 ;;;DESLOCAMENTO OPER;hr; 2,62 ;;;DESLOCAMENTO OPER;hr; 3,34 ; 4,41 ; 4,18 ;;;DESLOCAMENTO OPER;hr; 1,14 ;;;DESLOCAMENTO OPER;hr; -   ;;;DESLOCAMENTO OPER;hr; 2,08 ;;;DESLOCAMENTO OPER;hr; 2,33 ; 1,89 ; 0,54 ;;;DESLOCAMENTO OPER;hr; 2,64 ; 0,92 ; 0,58 ; 1,92 ; 0,75 ;;;DESLOCAMENTO OPER;hr; 3,07 ; 2,11 ;;;DESLOCAMENTO OPER;hr; 1,22 ; 0,71 ;;;DESLOCAMENTO OPER;hr; 0,82 ; 0,47 ;;;DESLOCAMENTO OPER;hr; 0,60 ; 0,60 ;;;DESLOCAMENTO OPER;hr; 2,04 ;;;DESLOCAMENTO OPER;hr; -   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Capacidade;l; -   ;;;Capacidade;ton; 12,00 ; 12,00 ; 12,00 ; 12,00 ;;;Capacidade;ton; 7,80 ; 7,80 ; 7,80 ; 7,80 ;;;Capacidade;l; -   ; -   ; -   ;;;Capacidade;l; 900,00 ;;;Capacidade;l; 600,00 ;;;Capacidade;kg; 500,00 ; 5.000,00 ; 5.000,00 ;;;Capacidade;l; 550,00 ;;;Capacidade;l; -   ;;;Capacidade;kg; 5.000,00 ;;;Capacidade;l; 3.000,00 ; 3.000,00 ; 3.000,00 ;;;Capacidade;l; 1.500,00 ; 1.500,00 ; 1.500,00 ; 1.500,00 ; 1.500,00 ;;;Capacidade;kg; 3.000,00 ; 3.000,00 ;;;Capacidade;kg; 2.700,00 ; 2.700,00 ;;;Capacidade;kg; 2.700,00 ; 2.700,00 ;;;Capacidade;kg; 600,00 ; 600,00 ;;;Capacidade;l; 550,00 ;;;Capacidade;l; -   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dosagem;l/ha; -   ;;;Dosagem;t/ha; 3,00 ; 1,50 ; 0,55 ; 1,00 ;;;Dosagem;t/ha; 3,00 ; 1,50 ; 0,55 ; 1,00 ;;;Dosagem;l/ha; -   ; -   ; -   ;;;Dosagem;l/ha; 550,00 ;;;Dosagem;l/ha; 550,00 ;;;Dosagem;kg/ha; 600,00 ; 10.000,00 ; 10.000,00 ;;;Dosagem;l/ha; 150,00 ;;;Dosagem;l/ha; -   ;;;Dosagem;kg/ha; 14.000,00 ;;;Volume de Calda;l/ha; 150,00 ; 150,00 ; 150,00 ;;;Volume de Calda;l/ha; 150,00 ; 150,00 ; 150,00 ; 150,00 ; 150,00 ;;;Dosagem;kg/ha; 350,00 ; 190,00 ;;;Dosagem;kg/ha; 350,00 ; 190,00 ;;;Dosagem;kg/ha; 350,00 ; 190,00 ;;;Dosagem;kg/ha; 100,00 ; 100,00 ;;;Volume de Calda;l/ha; 150,00 ;;;Dosagem;l/ha; -   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Capacidade;ha; -   ;;;Capacidade;ha; 4,00 ; 8,00 ; 21,82 ; 12,00 ;;;Capacidade;ha; 2,60 ; 5,20 ; 14,18 ; 7,80 ;;;Capacidade;ha; -   ; -   ; -   ;;;Capacidade;ha; 1,64 ;;;Capacidade;ha; 1,09 ;;;Capacidade;ha; 0,83 ; 0,50 ; 0,50 ;;;Capacidade;ha; 3,67 ;;;Capacidade;ha; -   ;;;Capacidade;ha; 0,36 ;;;Capacidade;ha; 20,00 ; 20,00 ; 20,00 ;;;Capacidade;ha; 10,00 ; 10,00 ; 10,00 ; 10,00 ; 10,00 ;;;Capacidade;ha; 8,57 ; 15,79 ;;;Capacidade;ha; 7,71 ; 14,21 ;;;Capacidade;ha; 7,71 ; 14,21 ;;;Capacidade;ha; 6,00 ; 6,00 ;;;Capacidade;ha; 3,67 ;;;Capacidade;ha; -   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duração;hr; -   ;;;Duração;hr; 0,33 ; 0,67 ; 1,82 ; 1,00 ;;;Duração;hr; 0,27 ; 0,54 ; 1,48 ; 0,81 ;;;Duração;hr; -   ; -   ; -   ;;;Duração;hr; 1,45 ;;;Duração;hr; 0,99 ;;;Duração;hr; 0,69 ; 0,42 ; 0,12 ;;;Duração;hr; 3,40 ;;;Duração;hr; -   ;;;Duração;hr; 0,35 ;;;Duração;hr; 0,89 ; 1,19 ; 5,13 ;;;Duração;hr; 0,93 ; 3,21 ; 5,32 ; 1,39 ; 4,00 ;;;Duração;hr; 0,60 ; 1,10 ;;;Duração;hr; 3,30 ; 6,07 ;;;Duração;hr; 3,30 ; 6,07 ;;;Duração;hr; 4,55 ; 4,55 ;;;Duração;hr; 1,91 ;;;Duração;hr; -   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abastecimento;hr; -   ;;;Abastecimento;hr; 0,20 ; 0,20 ; 0,20 ; 0,20 ;;;Abastecimento;hr; 0,20 ; 0,20 ; 0,20 ; 0,20 ;;;Abastecimento;hr; -   ; -   ; -   ;;;Abastecimento;hr; 0,20 ;;;Abastecimento;hr; 0,20 ;;;Abastecimento;hr; 0,20 ; 0,20 ; 0,15 ;;;Abastecimento;hr; 0,20 ;;;Abastecimento;hr; -   ;;;Abastecimento;hr; 0,15 ;;;Abastecimento;hr; 0,20 ; 0,20 ; 0,20 ;;;Abastecimento;hr; 0,10 ; 0,10 ; 0,10 ; 0,10 ; 0,10 ;;;Abastecimento;hr; 0,20 ; 0,20 ;;;Abastecimento;hr; 0,20 ; 0,20 ;;;Abastecimento;hr; 0,20 ; 0,20 ;;;Abastecimento;hr; 0,20 ; 0,20 ;;;Abastecimento;hr; 0,20 ;;;Abastecimento;hr; -   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deslocamento;hr; -   ;;;Deslocamento;hr; 0,30 ; 0,30 ; 0,30 ; 0,30 ;;;Deslocamento;hr; 0,30 ; 0,30 ; 0,30 ; 0,30 ;;;Deslocamento;hr; -   ; -   ; -   ;;;Deslocamento;hr; 0,30 ;;;Deslocamento;hr; 0,30 ;;;Deslocamento;hr; 0,25 ; 0,25 ; 0,10 ;;;Deslocamento;hr; 0,30 ;;;Deslocamento;hr; -   ;;;Deslocamento;hr; 0,10 ;;;Deslocamento;hr; 0,20 ; 0,20 ; 0,20 ;;;Deslocamento;hr; 0,20 ; 0,20 ; 0,20 ; 0,20 ; 0,20 ;;;Deslocamento;hr; 0,30 ; 0,30 ;;;Deslocamento;hr; 0,30 ; 0,30 ;;;Deslocamento;hr; 0,20 ; 0,20 ;;;Deslocamento;hr; 0,20 ; 0,20 ;;;Deslocamento;hr; 0,30 ;;;Deslocamento;hr; -   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paradas por dias;#; -   ;;;Paradas por dias;#; 17,52 ; 12,51 ; 6,30 ; 9,73 ;;;Paradas por dias;#; 18,42 ; 13,63 ; 7,18 ; 10,82 ;;;Paradas por dias;#; -   ; -   ; -   ;;;Paradas por dias;#; 6,68 ;;;Paradas por dias;#; 8,75 ;;;Paradas por dias;#; 13,37 ; 17,65 ; 41,83 ;;;Paradas por dias;#; 3,80 ;;;Paradas por dias;#; -   ;;;Paradas por dias;#; 20,77 ;;;Paradas por dias;#; 11,64 ; 9,43 ; 2,71 ;;;Paradas por dias;#; 13,21 ; 4,62 ; 2,88 ; 9,59 ; 3,77 ;;;Paradas por dias;#; 10,24 ; 7,02 ;;;Paradas por dias;#; 4,08 ; 2,36 ;;;Paradas por dias;#; 4,11 ; 2,35 ;;;Paradas por dias;#; 3,01 ; 3,01 ;;;Paradas por dias;#; 6,81 ;;;Paradas por dias;#; -   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;INSUMOS;hr; -   ; -   ;;;INSUMOS;hr; 1,03 ; 1,03 ;;;INSUMOS;hr; 0,87 ; 0,87 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DESLOCAMENTO OPER;hr; -   ; -   ;;;DESLOCAMENTO OPER;hr; 1,03 ; 1,03 ;;;DESLOCAMENTO OPER;hr; 0,87 ; 0,87 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Capacidade;lts;;;;;Capacidade;lts; 900,00 ; 900,00 ;;;Capacidade;lts; 600,00 ; 600,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Dosagem;l/ha;;;;;Dosagem;l/ha; 150,00 ; 150,00 ;;;Dosagem;l/ha; 150,00 ; 150,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
