Equipamento;Frente;Fazenda;Data de Alocação;Data Chegada;Entrada Cana;Distância;Tipo de Carga;Tempo Ida;Tempo Carregamento;Tempo Volta;Tempo Industria;Tempo Total;Start Automático;Gravação Automática;Tipo de Alocação;Unidade Destino;Mensagem Alocação;Carretas Entrada;Data Pesagem Entrada;Moído Entrada;Carretas Saída;Data Saída Carreta;Última Basculada Saída;Data Carregamento;Fazenda Carregamento;Tonelada Carregada;Código Transbordo
308379;4;20432;15/04/2026 11:48:48;15/04/2026 17:29:15;1162681;14.66;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);-;-;-;01:20:24;01:20:24;S;N;VIAGEM ;50;S;;;;;;;;;;
308369;1;20320;15/04/2026 11:49:28;15/04/2026 13:37:36;1162669;14.08;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:34:00;00:42:00;00:30:00;00:17:24;02:03:24;S;N;VIAGEM ;50;S;;;;;;;;;;
308398;200;;15/04/2026 11:55:58;;;;;-;-;-;-;-;S;;PÁTIO ;;N;;;;;;;;;;
308380;200;;15/04/2026 11:56:41;;;;;-;-;-;-;-;S;;PÁTIO ;;N;;;;;;;;;;
308405;200;;15/04/2026 11:59:03;;;;;-;-;-;-;-;S;;PÁTIO ;;N;;;;;;;;;;
308368;200;;15/04/2026 11:59:28;;;;;-;-;-;-;-;S;;PÁTIO ;;N;;;;;;;;;;
308403;200;;15/04/2026 12:47:24;;;;;-;-;-;-;-;N;;PÁTIO ;;N;;;;;;;;;;
308378;200;;15/04/2026 12:56:14;;;;;-;-;-;-;-;S;;PÁTIO ;;N;;;;;;;;;;
308403;200;;15/04/2026 12:57:51;;;;;-;-;-;-;-;S;;PÁTIO ;;N;;;;;;;;;;
308381;200;;15/04/2026 12:57:57;;;;;-;-;-;-;-;S;;PÁTIO ;;N;;;;;;;;;;
308404;200;;15/04/2026 12:58:39;;;;;-;-;-;-;-;N;;PÁTIO ;;N;;;;;;;;;;
308398;4;20432;15/04/2026 12:03:23;15/04/2026 17:29:52;1162690;14.66;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);-;-;-;04:13:12;04:13:12;S;N;VIAGEM ;50;S;;;;;;;;;;
308380;1;20320;15/04/2026 12:05:48;15/04/2026 13:57:23;1162670;14.08;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:33:00;00:47:00;00:30:00;15:27:36;17:17:36;S;N;VIAGEM ;50;S;;;;;;;;;;
308405;1;20320;15/04/2026 12:27:51;15/04/2026 14:32:02;1162672;14.08;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:35:00;00:53:00;00:36:00;01:19:48;03:23:48;S;N;VIAGEM ;50;S;;;;;;;;;;
308368;4;20432;15/04/2026 12:35:52;15/04/2026 17:42:09;1162682;14.66;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);-;-;-;06:34:12;06:34:12;S;N;VIAGEM ;50;S;;;;;;;;;;
308362;10;20713;15/04/2026 12:47:04;15/04/2026 14:37:18;1162673;10.25;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);-;-;-;04:26:24;04:26:24;S;N;VIAGEM ;50;S;;;;;;;;;;
308362;200;;15/04/2026 12:33:31;;;;;-;-;-;-;-;S;;PÁTIO ;;N;;;;;;;;;;
308366;200;;15/04/2026 12:56:25;;;;;-;-;-;-;-;S;;PÁTIO ;;N;;;;;;;;;;
308378;200;;15/04/2026 13:13:07;;;;;-;-;-;-;-;N;;PÁTIO ;;N;;;;;;;;;;
308381;200;;15/04/2026 13:17:10;;;;;-;-;-;-;-;N;;PÁTIO ;;N;;;;;;;;;;
308366;1;20320;15/04/2026 13:13:37;15/04/2026 15:16:21;1163005;14.08;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:37:00;00:43:00;00:41:00;39:03:36;41:04:36;S;N;VIAGEM ;50;S;;;;;;;;;;
308378;4;20432;15/04/2026 13:17:08;15/04/2026 18:12:57;1162684;14.66;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);-;-;-;03:16:12;03:16:12;N;N;VIAGEM ;50;S;;;;;;;;;;
308404;4;20432;15/04/2026 13:17:35;15/04/2026 13:17:58;0;14.66;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);-;-;-;-;-;N;N;VIAGEM ;50;N;;;;;;;;;;
308404;4;20432;15/04/2026 13:18:14;15/04/2026 17:44:46;1162683;14.66;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);-;-;-;02:13:12;02:13:12;N;N;VIAGEM ;50;S;;;;;;;;;;
308381;4;20432;15/04/2026 13:18:43;15/04/2026 18:00:02;1162686;14.66;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);-;-;-;01:32:24;01:32:24;N;N;VIAGEM ;50;S;;;;;;;;;;
308367;1;20320;15/04/2026 13:57:04;15/04/2026 16:18:51;1162676;14.08;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:41:00;01:06:00;00:34:00;05:09:36;07:30:36;S;N;VIAGEM ;50;S;;;;;;;;;;
308397;1;20320;15/04/2026 14:09:20;15/04/2026 16:38:06;1162677;14.08;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);-;-;-;05:04:48;05:04:48;N;N;VIAGEM ;50;S;;;;;;;;;;
308365;10;20713;15/04/2026 14:11:22;15/04/2026 15:46:58;0;10.25;19-CAVALO MECÂNICO  (TERCEIRO 3 CARRETAS);00:02:00;01:08:00;00:21:00;03:16:48;04:47:48;N;N;VIAGEM ;50;S;;;;;;;;;;
308374;4;20432;15/04/2026 14:34:35;15/04/2026 18:29:53;1162688;14.66;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);01:44:00;00:14:00;01:57:00;01:09:00;05:04:00;N;N;VIAGEM ;50;S;;;;;;;;;;
308403;1;20320;15/04/2026 14:42:48;15/04/2026 17:21:57;1162680;14.08;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:39:00;01:17:00;00:37:00;14:13:12;16:46:12;N;N;VIAGEM ;50;S;;;;;;;;;;
308402;27;30493;15/04/2026 14:59:23;15/04/2026 21:22:59;0;49.49;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);-;-;-;00:20:24;00:20:24;N;N;VIAGEM ;50;S;;;;;;;;;;
308382;3;20449;15/04/2026 15:04:24;15/04/2026 17:54:16;1162685;43.08;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);-;-;-;03:25:12;03:25:12;N;N;VIAGEM ;50;S;;;;;;;;;;
308383;2;20596;15/04/2026 15:59:34;16/04/2026 00:47:26;1162709;32.19;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);-;-;-;01:01:12;01:01:12;N;N;VIAGEM ;50;S;;;;;;;;;;
308361;4;20432;15/04/2026 18:02:40;15/04/2026 19:31:13;1162691;14.66;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);-;-;-;02:36:00;02:36:00;N;N;VIAGEM ;50;S;;;;;;;;;;
308365;4;20432;15/04/2026 19:15:56;15/04/2026 21:29:02;1162694;14.66;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:32:00;00:06:00;01:35:00;01:25:12;03:38:12;N;N;VIAGEM ;50;S;;;;;;;;;;
308374;4;20432;15/04/2026 19:44:46;15/04/2026 21:47:18;1162695;14.66;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:38:00;00:11:00;01:11:00;01:15:36;03:15:36;N;N;VIAGEM ;50;S;;;;;;;;;;
308381;4;20432;15/04/2026 19:55:53;15/04/2026 22:18:46;1162699;14.66;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:24:00;00:33:00;01:24:00;01:25:48;03:46:48;N;N;VIAGEM ;50;N;;;;;;;;;;
308404;10;20705;15/04/2026 20:19:45;15/04/2026 21:11:23;1162692;10.87;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:19:00;00:07:00;00:24:00;02:22:12;03:12:12;N;N;VIAGEM ;50;S;;;;;;;;;;
308401;27;30493;15/04/2026 20:28:01;16/04/2026 00:31:34;0;49.49;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);01:34:00;00:28:00;01:59:00;00:28:12;04:29:12;N;N;VIAGEM ;50;S;;;;;;;;;;
308375;4;20432;15/04/2026 20:28:34;15/04/2026 22:29:34;1162700;14.66;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);-;01:11:00;00:48:00;01:18:00;03:17:00;N;N;VIAGEM ;50;N;;;;;;;;;;
308370;1;20320;15/04/2026 20:41:49;15/04/2026 21:57:33;1162696;14.08;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:34:00;00:03:00;00:38:00;01:28:12;02:43:12;N;N;VIAGEM ;50;S;;;;;;;;;;
308406;3;20449;15/04/2026 20:44:15;16/04/2026 00:16:19;1162707;43.08;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);01:26:00;00:13:00;01:49:00;00:04:12;03:32:12;N;N;VIAGEM ;50;S;;;;;;;;;;
308373;10;20705;15/04/2026 20:49:54;15/04/2026 22:06:16;1162697;10.87;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:24:00;00:25:00;00:25:00;00:24:00;01:38:00;N;N;VIAGEM ;50;N;;;;;;;;;;
308396;1;20320;15/04/2026 20:58:55;15/04/2026 22:16:42;1162698;14.08;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:31:00;00:10:00;00:33:00;01:10:12;02:24:12;N;N;VIAGEM ;50;N;;;;;;;;;;
308377;27;30493;15/04/2026 21:17:44;16/04/2026 01:58:43;0;49.49;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);-;-;-;01:23:24;01:23:24;N;N;VIAGEM ;50;S;;;;;;;;;;
308369;1;20320;15/04/2026 21:28:17;15/04/2026 22:40:08;1162701;14.08;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:28:00;00:13:00;00:29:00;01:30:36;02:40:36;N;N;VIAGEM ;50;S;;;;;;;;;;
308367;3;20449;15/04/2026 21:34:39;16/04/2026 01:39:30;1162716;43.08;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);01:32:00;00:12:00;02:17:00;00:28:48;04:29:48;N;N;VIAGEM ;50;S;;;;;;;;;;
308382;10;20705;15/04/2026 21:36:04;15/04/2026 22:55:10;1162702;10.87;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:32:00;00:20:00;00:27:00;01:13:48;02:32:48;N;N;VIAGEM ;50;S;;;;;;;;;;
308378;4;20432;15/04/2026 21:39:48;15/04/2026 23:14:50;1162703;14.66;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);-;-;-;00:34:12;00:34:12;N;N;VIAGEM ;50;N;;;;;;;;;;
308397;1;20320;15/04/2026 21:52:23;16/04/2026 00:05:02;1162706;14.08;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:28:00;01:07:00;00:34:00;01:08:24;03:17:24;N;N;VIAGEM ;50;S;;;;;;;;;;
308398;3;20449;15/04/2026 21:52:52;16/04/2026 01:23:10;1162713;43.08;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);01:22:00;00:19:00;01:46:00;00:17:24;03:44:24;N;N;VIAGEM ;50;S;;;;;;;;;;
308402;27;30493;15/04/2026 21:57:33;16/04/2026 02:05:05;0;49.49;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);01:43:00;00:10:00;02:15:00;01:00:36;05:08:36;N;N;VIAGEM ;50;S;;;;;;;;;;
308371;2;20596;15/04/2026 22:20:28;16/04/2026 01:31:13;1162714;32.19;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);01:01:00;00:50:00;01:17:00;00:29:24;03:37:24;N;N;VIAGEM ;50;S;;;;;;;;;;
308361;10;20705;15/04/2026 22:31:32;15/04/2026 23:40:52;1162704;10.87;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:28:00;00:10:00;00:25:00;00:20:24;01:23:24;N;N;VIAGEM ;50;S;;;;;;;;;;
308373;2;20596;15/04/2026 22:46:48;16/04/2026 02:31:02;1162725;32.19;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);-;-;-;01:13:12;01:13:12;N;N;VIAGEM ;50;S;;;;;;;;;;
308362;3;20449;15/04/2026 22:54:06;16/04/2026 01:41:36;1162717;43.08;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);-;-;-;00:15:00;00:15:00;N;N;VIAGEM ;50;S;;;;;;;;;;
308365;4;20432;15/04/2026 23:11:23;16/04/2026 00:23:09;1162705;14.66;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:34:00;00:06:00;00:29:00;00:19:12;01:28:12;N;N;VIAGEM ;50;S;;;;;;;;;;
308374;4;20432;15/04/2026 23:20:51;16/04/2026 00:52:02;1162710;14.66;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:35:00;00:28:00;00:27:00;00:28:48;01:58:48;N;N;VIAGEM ;50;S;;;;;;;;;;
308396;10;20705;15/04/2026 23:33:41;16/04/2026 00:57:41;1162711;10.87;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:22:00;00:22:00;00:38:00;01:01:48;02:23:48;N;N;VIAGEM ;50;N;;;;;;;;;;
308370;1;20320;15/04/2026 23:44:47;16/04/2026 01:03:35;1162712;14.08;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:35:00;00:04:00;00:37:00;00:13:48;01:29:48;N;N;VIAGEM ;50;S;;;;;;;;;;
308404;27;30493;15/04/2026 23:48:47;;0;49.49;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);-;-;-;-;-;S;N;VIAGEM ;50;S;;;;;;;;;;
308404;1;20320;15/04/2026 23:50:41;16/04/2026 01:23:34;1162718;14.08;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:29:00;00:32:00;00:35:00;01:09:36;02:45:36;N;N;VIAGEM ;50;S;;;;;;;;;;
308375;2;20596;15/04/2026 23:59:47;16/04/2026 03:14:59;1162729;32.19;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);01:06:00;00:53:00;01:15:00;00:24:00;03:38:00;N;N;VIAGEM ;50;S;;;;;;;;;;
308406;200;;16/04/2026 00:54:45;;;;;-;-;-;-;-;N;;PÁTIO ;;N;;;;;;;;;;
308406;200;;16/04/2026 00:55:28;;;;;-;-;-;-;-;N;;PÁTIO ;;N;;;;;;;;;;
