Cenário;Delta_IV_pp;Perda_Receita_BRL;Custo_Extra_Transporte_BRL;Impacto_Total_BRL
Vs. Região Assis;0.57;3878686.3;291885.6;4170571.9
Vs. Média Mercado;0.74;5035487.47;378939.2;5414426.67
