Benchmarking CTC - Safra 2025 - TAH (ton de ATR/ha);;;;;;;;;;;;;;
;Participante;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Jan;Fev;Média
62;Raízen - Caarapó;;4,64;9,08;8,08;11,69;10;11,01;9,01;8,74;9,99;;;
63;Raízen - Bonfim;;6,04;8,93;10,48;10,97;11,64;11,8;7,61;;;;;
64;Raízen - Benálcool;;6,12;8,56;11,32;13,4;12,25;11,13;11,13;6,75;6,28;;;
65;Raízen - Araraquara;;7,17;9,75;10,57;8,78;10,07;9,89;;;;;;
66;Pedra - Ipê;;7,02;9,4;8,98;9,58;9,85;12,17;9,74;;;;;
67;Pedra - Da Pedra;;9,75;10,81;9,82;11,56;12,02;9,46;9,97;;;;;
68;Pedra - Cedro;;;;;;13,53;13,61;10,45;;;;;
69;Pedra - Buriti;;;8,62;9,17;10,03;9,29;9,54;8,5;;;;;
70;Participante 70;;8,67;8,95;8,16;14,35;5,97;14,39;8,29;7,77;7,81;;;
71;Nova América - Tarumã;6,56;11,24;13,36;11,68;12,99;13,22;14,72;13,64;10,62;10,71;;;
72;Nardini - Vista Alegre;;9,83;10,3;10,93;11,31;11,71;11,04;8,32;6,96;;;;
73;Nardini - Aporé;;7,07;9,58;9,26;9,33;10,8;10,61;8,01;;;;;
74;Participante 74;;;10,4;14,25;14,49;12,68;11,34;11,96;;;;;
75;Melhoramentos - VDP;8,83;9,14;9,69;10,99;11,31;11,34;11,09;10,5;9,09;7,88;;;
76;Melhoramentos - NL;7,88;6,77;8,58;8,7;8,07;9,82;9,87;7,16;7,91;8,44;;;
77;Melhoramentos - JS;;8,53;10,07;9,46;9,34;10,49;10,53;10,29;9,4;9,79;;;
78;Londra;12,52;10,52;12,94;11,77;15,31;14,75;14,28;13,07;14,07;12,67;;;
79;Lins;7,24;8,42;9,3;9,25;11,78;13,33;12,61;10,69;9,88;;;;
80;Laguna;10,84;9,5;12,53;11,12;9,85;10,96;15,55;17,25;12,47;13,02;;;
81;Jalles - Santa Vitória;;6,41;8,86;9,85;9,34;8,1;7,33;5,56;;;;;
82;Jalles - Otávio Lage;;8,07;10,2;11,15;12,53;12,74;12,96;10,57;8,07;;;;
83;Jalles - Matriz;;9,12;10,2;9,45;12,14;11,61;11,27;10,57;9,94;;;;
84;Jacarezinho;;10,6;11,2;12,28;11,34;12,71;14,82;15,01;12,67;12,31;;;
85;Itajobi;;9;10,98;11,28;10,03;9,87;8,85;7,95;5,99;;;;
86;Ipiranga - Passos;;11,18;13,3;12,49;12,02;12,51;13,17;11,22;13,27;9,39;;;
87;Ipiranga - Mococa;;9;9,92;10,96;11,43;12,5;11,78;10,51;8,75;8,88;;;
88;Ipiranga - Iacanga;;7,65;8,48;8,88;9;10,42;9,85;8,27;6,4;;;;
89;Ipiranga - Descalvado;7,96;10,06;8,85;9,62;10,13;9,91;9,53;8,66;;;;;
90;Guaira;;11,39;11,58;11,62;12,88;13,17;12,37;9,91;;;;;
91;Goiasa;;7,77;9,23;10,33;10,19;11,78;11,44;10,5;9,95;;;;
92;Participante 92;;;10,76;11,81;12,15;13,68;14,6;13,66;9,15;;;;
93;Ferrari;;10,61;11,91;11,6;11,34;12,34;12,51;11,36;9,35;;;;
94;Ester;;7,98;10,72;10,09;8,34;10,68;11,4;9,07;;;;;
