Benchmarking CTC - Safra 2025 - Estãgio Médio de Corte mês a mês ;;;;;;;;;;;;;;
;Participante;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Jan;Fev;Média
64;Raízen - Da Barra;;2,9;2,9;3;2,7;3;3;2,5;2,5;;;;
65;Raízen - Costa Pinto;1,4;2,3;1,8;1,7;2,1;2,7;3,2;3,2;2,8;2,6;;;
66;Raízen - Continental;2,9;2,7;3,4;3;4;3,5;3,9;4,7;;;;;
67;Raízen - Caarapó;;6,4;2,6;4,1;2,2;3,3;3,3;3,4;3,5;3,4;;;
68;Raízen - Bonfim;;4,1;3,8;3,1;3,2;3,6;3,6;5,4;;;;;
69;Raízen - Benálcool;;5,3;4,8;2,6;2,4;2,8;3,8;3,4;3,9;4;;;
70;Raízen - Araraquara;;3,5;2,9;2,2;3,1;3;4,2;4;;;;;
71;Pedra - Ipê;;4;3,1;3,5;2,8;2,8;2,9;3,3;;;;;
72;Pedra - Da Pedra;;2,8;2,4;3,4;3,3;3,4;7,9;4,4;;;;;
73;Pedra - Cedro;;;;;;1;1,9;2,5;;;;;
74;Pedra - Buriti;;;4,5;3,6;4,5;4,8;4,6;4,9;;;;;
75;Participante 75;;3,3;3,9;5;2;4,5;1,7;4,7;3,6;3,1;;;
76;Nova América - Tarumã;3;4,2;3,3;5;4,1;4,4;3,5;4,4;4,1;3,7;;;
77;Nardini - Vista Alegre;;3;3,2;3,5;3,6;3,8;4,3;4,4;4,2;;;;
78;Nardini - Aporé;;5,4;1,7;1,5;2,6;2,9;3;3,4;;;3,3;;
79;Participante 79;;;3,4;2;2;2,5;3,2;3,5;;;;;
80;Melhoramentos - VDP;2,6;2,5;2,2;2,1;2,5;2,9;3;3,6;3,7;3,6;;;
81;Melhoramentos - NL;2;3,4;2,5;2;3,1;2,7;3,2;4;3,9;3,5;;;
82;Melhoramentos - JS;;3,5;2,7;3,5;3,8;3,6;3,5;4,2;4,3;3,4;;;
83;Londra;2,9;4,6;4,3;3,9;3,2;3,5;3,2;3,2;4;3,5;;;
84;Lins;3,9;2,7;3,3;3,7;2,3;2,4;2,7;3,1;3,8;;;;
85;Laguna;2,9;3,6;3,7;4,4;4,6;4,5;2,5;1,6;3,9;3,3;;;
86;Jalles - Santa Vitória;;2,9;1,9;2,1;2,6;4,1;4,2;4,2;;;;;
87;Jalles - Otávio Lage;;3,6;2,9;4;4,4;3,8;3,6;4,1;5,4;;;;
88;Jalles - Matriz;;3,2;2,5;3,2;3,5;3,5;3,2;4,1;4,4;;;;
89;Jacarezinho;;2,9;2,6;3,3;3,5;2,6;2,8;2,7;2,7;3,1;;;
90;Itajobi;;2,8;2;2,3;2,8;3,4;3,6;3,5;4,1;;;;
91;Ipiranga - Passos;;2,1;1,8;2,3;2,9;2,6;2,6;3;2,5;2,9;;;
92;Ipiranga - Mococa;;2,4;2,8;2,5;2,8;2,7;3,2;3,7;3,4;4;;;
93;Ipiranga - Iacanga;;3,3;2,1;2,3;2,5;2,3;3;3,4;4,1;;;;
94;Ipiranga - Descalvado;2,6;1,6;2,4;2,4;2,6;3,2;3,6;3,2;;;;;
95;Guaira;;2;2,7;3,5;3,6;3,7;4,6;4,9;;;;;
96;Goiasa;;2,6;1,8;1,9;2,8;3,4;3,2;3,8;3,8;;;;
97;Participante 97;;;2,3;3,4;4,1;3,7;3,3;3,7;5;;;;
98;Ferrari;;3,5;2,5;3,3;3,7;3,5;3,8;3,6;3,4;;;;
99;Ester;;2,4;2,5;2,9;3,3;3,1;2,7;3,4;;;;;
100;Energética Sta Helena;3,6;3,4;2,9;1,6;3,7;3,1;3,9;4,9;4,7;4;;;
101;Energética Serranópolis;;4;1,5;1,9;2,8;4,3;;;;;;;
102;Diana;5,4;5,2;3,7;4;2,5;3,3;3,8;4,1;4,5;5,2;;;
103;Denusa;;6;3,4;2,3;4,6;3,8;5,1;5,2;7,5;;;;
104;Participante 104;;5,2;3,9;3,9;2,6;3,2;4,3;5,5;5;;;;
105;Participante 105;;3,8;3,4;3;3;4;5,1;4,8;5,4;;;;
106;Della Coletta;;4,5;2,5;3;2,9;3,2;3,1;3;4,1;;;;
107;Dacalda;;6,3;4,5;5;6,3;6,3;2,7;4,7;5,4;4,4;;;
108;Da Mata;;;2,9;2,6;2,9;2,6;2,8;2,8;3,7;3,4;;;
109;Cox Energy - Coxag;;;2,5;3,1;3,1;2,7;3,6;3,5;;;;;
110;Coruripe - Lim. Oeste;;3,4;3,4;2,5;2,1;2,9;3,2;3,4;3,7;;;;
111;Coruripe - Iturama;;4,4;4;2,4;2,4;2,7;3,2;4,4;4,3;;;;
112;Coruripe - Carneirinho;;3,5;3;3,1;2,7;3,1;3,7;3,6;4,2;;;;
113;Colombo - Santa Albertina;;4,6;2,7;2,3;2,1;2,2;2,7;3,3;4,2;;;;
114;Colombo - Palestina;;3,2;2,5;2;2;2,4;3,9;3,6;3,4;;;;
115;Colombo - Ariranha;;2,8;2,4;2,4;2,3;2,5;2,8;3,5;3,7;3,8;;;
