Benchmarking CTC - ATR  (kg/tc) - Safra 2025 (própria) ;;;;;;;;;;;;;;
;Participante;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Jan;Fev;Média
62;Raízen - Caarapó;;111,39;122,37;124,15;126,68;126,77;141,2;139,24;126,26;125,18;;;
63;Raízen - Bonfim;;112,83;122,85;120,18;125,83;139,28;150,46;158,97;;;;;
64;Raízen - Benálcool;;114,2;121,43;121,69;127,13;140,98;150,83;149,01;127,38;117,01;;;
65;Raízen - Araraquara;;97,6;113,75;125,05;129,67;143,48;155,02;;;;;;
66;Pedra - Ipê;;107,76;116,07;125,63;128,43;138,2;149,28;147,74;;;;;
67;Pedra - Da Pedra;;114,96;122,55;129,92;137,35;146,91;159,2;161,14;;;;;
68;Pedra - Cedro;;;;;;122,23;146,7;142,63;;;;;
69;Pedra - Buriti;;;114,58;122,21;136,45;147,86;158,18;158,86;;;;;
70;Participante 70;;120,62;121,71;120,95;122,94;130,98;139,33;146,38;122,99;123,71;;;
71;Nova América - Tarumã;115,3;119,08;122,79;127,95;129,68;138,83;152,19;152,01;129,1;121,57;;;
72;Nardini - Vista Alegre;;117,71;121,08;127,57;138,49;152,65;157,95;152,14;140,31;;;;
73;Nardini - Aporé;;109,23;119,95;128,26;136,66;147,28;155,58;148,88;;;;;
74;Participante 74;;;140,69;137,53;136,95;145,2;158,17;157,99;;;;;
75;Melhoramentos - VDP;110,7;111,85;115,99;123,1;128,54;138,27;141,13;145,87;128,79;121,55;;;
76;Melhoramentos - NL;102,7;108,64;109,98;114,58;119,97;134,35;138,27;138,46;116,47;110,75;;;
77;Melhoramentos - JS;;100,24;106,99;107,49;114,59;121,74;130,84;126,56;116,42;112,15;;;
78;Londra;121,19;117,5;132,31;134,41;130,77;124,81;135;139,5;145,1;136,08;;;
79;Lins;111,31;117,17;123,38;129,73;139,19;146,35;154,32;149,98;149,98;;;;
80;Lasa;;72,23;98,35;;;;;;;;;;
81;Laguna;116,18;117,92;126,45;121,66;122,82;131,44;149,06;151,45;130,72;123,84;;;
82;Jalles - Santa Vitória;;107,77;117,02;128,22;141,02;147,24;152,61;147,97;;;;;
83;Jalles - Otávio Lage;;97,88;114,09;120,3;133,96;144,62;152,51;156,6;148,38;;;;
84;Jalles - Matriz;;103,38;108,6;123,33;134,78;145,17;155,42;149,07;139,99;;;;
85;Jacarezinho;;111,96;120,95;128,04;126,89;137,81;145,05;151,57;132,54;129,99;;;
86;Itajobi;;117,34;123,5;126,22;137,99;146,38;154,13;150,33;136,16;;;;
87;Ipiranga - Passos;;110,21;115,17;134,03;140,27;152,04;156,94;154,17;138,93;135,74;;;
88;Ipiranga - Mococa;;106,75;117,56;128,05;136,61;145,56;159,67;152,26;132,02;127,64;;;
89;Ipiranga - Iacanga;;118,45;120,9;125,72;129,92;145,36;159,67;153,66;125,67;;;;
90;Ipiranga - Descalvado;110,52;120,08;125;136,48;142,21;154,37;159,67;152,42;;;;;
91;Guaira;;129,53;133,29;139,11;151,83;157;160,5;153,11;;;;;
92;Goiasa;;101,44;100,86;113,35;123,11;140,23;140,7;141,57;130,29;;;;
93;Participante 93;;;100,51;116,36;132,66;150,84;162,96;163,76;139,77;;;;
94;Ferrari;;117,77;121,49;132,55;130,49;146,73;156,95;153,58;133,55;;;;
95;Ester;;115,78;123,53;130,74;138,46;151,52;159,38;153,47;;;;;
96;Energética Sta Helena;102,11;117,78;127,18;133,22;131,13;138,88;148,12;142,39;122,73;120,89;;;
97;Energética Serranópolis;;109;118,31;125,5;137,63;147,84;;;;;;;
98;Diana;107,88;117,92;125,53;132,71;133,4;142,39;154,45;156,63;134,51;136,66;;;
99;Denusa;;120,91;120,81;125,16;128,77;139,39;149,18;145,45;137,6;;;;
100;Participante 100;;105,9;134,66;124,61;134,39;146,11;157,17;150,2;140,61;;;;
101;Participante 101;;104,91;116,7;127,15;139,64;150,85;158,69;153,15;139,7;;;;
102;Della Coletta;;123,74;129,51;131,28;138,67;151,3;164,84;160,34;140,67;;;;
103;Dacalda;107,66;117,44;126,54;126,65;135,83;143,4;157,29;149,37;145,23;122,59;;;
104;Da Mata;;;126,23;127,78;129,32;143,66;150,88;152,77;140,62;130,12;;;
105;Cox Energy - Coxag;;;125,36;123,94;134,02;144,43;155,93;152,27;;;;;
106;Coruripe - Lim. Oeste;;121,64;126,8;132,94;139,44;149,84;157,68;153,43;142,56;;;;
107;Coruripe - Iturama;;112,04;117,51;130,68;132,79;145,48;153,73;145,38;137,52;;;;
108;Coruripe - Carneirinho;;109,4;119,22;123,55;136,1;146,91;153,14;145,12;135,58;;;;
109;Colombo - Santa Albertina;;113,05;121,95;125,76;137,13;150,1;152,51;148,83;126,23;;;;
110;Colombo - Palestina;;112,9;119,2;123,27;132,57;140,11;151,06;144,94;132;;;;
111;Colombo - Ariranha;;120,06;129,36;130,19;139,47;149,7;157,88;155,7;136,64;129,63;;;
112;Cofco - Sebastianópolis;;106,7;123,83;131,15;138,92;152,19;153,24;152,55;132,13;118,69;;;
113;Cofco - Potirendaba;;116,41;129,74;134,55;138,3;148,33;154,48;144,57;127,83;;;;
114;Cofco - Meridiano;;107,15;120,43;130,49;140,38;145,18;150,95;151,23;129,3;;;;
115;Cofco - Catanduva;;118,79;130,41;132,99;139,61;149,63;154,29;150,67;132,67;;;;
116;Cocal PPT;113,22;116,92;125,54;127,15;130,29;140,47;151,84;150,66;138,53;;;;
117;Cocal NRD;115,95;115,96;125,29;127,51;129,51;138,62;152;146,14;128,51;;;;
118;Clealco - Queiroz;;117,28;130,64;130,28;132,74;141,71;153,92;154,83;136,49;;;;
119;Clealco - Clementina;;120,09;120,35;125,24;129;142,54;154,54;152,28;129,82;;;;
120;Cevasa;;112,6;122,64;131;142,51;150,72;158,91;147,93;130,49;;;;
121;Cerradinho Bioenergia;;115,42;124,57;130,52;135,51;146,04;154,64;155,87;148,66;146,65;;;
122;Participante 122;;108,35;103,04;121,93;125,64;141,74;151,14;152,54;140,95;134,93;;;
123;Cargill Bioenergia - USF;;91,38;105,07;118,81;136,33;148,22;153,64;148,43;129,28;124,97;;;
124;Cargill Bioenergia - URD;;96,84;104,51;122,72;134,88;147,33;158,01;148,98;132,13;;;;
125;Cananova - Mirassol D Oeste;;;121,31;137,56;125,68;142,46;138,95;;126,94;;;;
126;Cananova - Lambari D Oeste;;118,89;126,02;133,92;130,15;132,53;137,6;141,89;136,2;;;;
127;CMAA - Vale do Tijuco;;109,13;123,4;128,59;137,62;147,13;152,5;154,2;128,97;;;;
128;CMAA - Canápolis;;100,71;119,94;132,64;145,03;154,21;165,9;155,13;138,69;;;;
129;Bunge - Rio Vermelho;;;120,74;125;131,29;140,18;149,69;149,76;128,16;;;;
130;Bunge - Nova Unialco;;115,74;123,56;120,36;130,81;141,76;146,14;151,22;134,19;;;;
131;Branco Peres;;117,31;111,45;121,33;132,04;139,39;144,53;145,01;120,77;;;;
132;Bevap;;127,64;131,97;132,84;143,14;146,97;149,47;153,24;154,79;;;;
133;Batatais;;111,14;115,83;124,49;129,04;145,5;152,15;148,59;138,93;;;;
134;Bandeirantes;;113,47;118,24;122,75;124,39;131,19;150,73;148,73;;;;;
135;Bambuí Bioenergia;;105,39;117,16;130,47;138,43;148,15;156,31;153,54;;;;;
136;Balbo - Uberaba;;96,56;95,04;112,66;123,45;135,93;155,82;137,1;127,49;;;;
137;Balbo - Santo Antonio;;89,92;102,24;108,42;120,51;135,88;149,87;141,85;128,2;;;;
138;BP - Tropical;99,82;102,94;101,54;110,67;116,49;134,16;147,67;143,12;131,43;;;;
139;BP - Santa Juliana;;110,76;111,15;115,58;126,51;141,61;147,47;;;;;;
140;BP - Pedro Afonso;116,76;111,35;114,06;118,61;130,73;145,68;146,22;129,06;;;;;
141;BP - Ouroeste;106,06;102,2;120,56;127,38;136,27;153,82;159,61;157,34;;;;;
142;BP - Monte Verde;;118,68;118,47;120,36;119,15;117,35;115,53;116,32;;;;;
143;BP - Moema;98,4;101,9;107,61;122,53;132,05;146,22;153,14;146,51;;;;;
144;BP - Itumbiara;95,83;100,98;107,81;123,75;135,51;141,64;154,3;156,47;;;;;
145;BP - Ituiutaba;103,68;104,7;111,77;122,75;141,09;147,69;153,05;152,31;;;;;
146;BP - Itapagipe;81,14;78,12;108,33;107,14;129,7;146,26;147,13;139,13;;;;;
147;BP - Guariroba;99,5;108,85;115,35;129,81;134,83;150,25;155,64;150,82;;;;;
148;BP - Frutal;86,29;86,72;105,75;114,52;125,66;137,38;143,8;142,07;;;;;
149;Atvos - Água Emendada;;119,09;123,22;127,18;140,07;150,8;154,92;161,24;145,75;;;;
150;Atvos - Santa Luzia I;;118,89;123,85;127,72;130,53;135,43;141,24;148,12;133;110,73;;;
151;Atvos - Rio Claro;;116,96;119,64;123,96;131,95;154,28;157,37;146,73;132,23;;;;
152;Atvos - Polo SP;;124,32;130;131,93;131,03;143,21;152,99;151,53;138,72;125,27;;;
153;Atvos - Morro Vermelho;;110,83;121,04;128,7;144,92;154,32;164,72;157,16;140,11;146,9;;;
154;Atvos - Eldorado;;144,22;121,7;125,47;125,18;134,3;139,59;142,69;131,92;105,65;;;
155;Atvos - Costa Rica;;120,73;131,11;135,22;141,51;150,16;160,43;156,29;142,1;137,9;;;
156;Atvos - Alto Taquari;;121,19;132,67;135,62;144,66;148,38;157,23;150,31;;;;;
157;Participante 157;;109;115,34;123,64;126,95;145;155,67;153;127,71;;;;
158;Participante 158;;112,99;122,33;132,11;133,1;138,48;150,37;151,4;135,4;;;;
159;Participante 159;;114,25;124,75;133,23;137,65;146,42;159,93;157,81;137,76;;;;
160;Aroeira;107,09;108,7;117,13;130,39;136,06;147,17;157,69;149,81;;;;;
161;Araporã Bioenergia;101,76;104,91;116,85;120,65;147,36;149,82;164,4;157,27;;;;;
162;Aralco - Nova Aralco;;;119,39;123,91;137,09;;165,01;159,47;;;;;
163;Alta Mogiana;;110,84;117,16;121,9;135,67;150,12;162,23;156,42;;;;;
164;Alcoeste;;107,5;115,96;125,05;133,73;142,2;151,69;150,66;134,54;;;;
165;Agroterenas - Rio Brilhante;;111,6;121,98;129,37;130,63;143,05;153,69;149,79;134,63;112,3;;;
166;Agroterenas - Parag. Pta;;110,08;123,12;137,65;138,46;150,54;158,98;155,58;141,48;137,35;;;
167;Agroterenas - Maracaí;;122,68;115,79;140,25;140,58;146,04;159,28;159,91;137,75;128,54;;;
168;Agroterenas - Anaurilândia;;113,25;109,47;115,13;126,98;137,66;143,84;139,08;129,91;115,79;;;
169;Agropéu;;;127,25;129,83;138,41;141,3;147,28;156,28;149,13;;;;
170;Participante 170;105,53;115,3;119,78;121,55;123,15;122,45;137,83;139,19;129,58;127,39;;;
171;Adecoagro - Monte Alegre;129,27;116,7;125,15;129,2;130,9;140,2;146,94;145,81;;;;;
172;Adecoagro - Ivinhema;102,35;;121,7;125,82;131,22;132,06;141,58;141,1;129,63;119,03;101,13;;
173;Adecoagro - Angélica;115,06;;119,33;127,88;123,16;134,13;141,89;141,85;129,63;115,57;90,16;;
