;; ;;;;;;;;;;;;;;;;;;ANO;RANKING;;;;;;POSIÇÃO;;;;;;
 ;Meses;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;;;2026;1º;2º;3º;;Meta;;1;2;3;;;Linear;Ponderado
;ago;15,82 ;10,64 ;11,44 ;11,96 ;8,93 ;8,39 ;6,35 ;9,67 ;4,48 ;8,18 ;4,97 ;7,71 ;7,09 ;6,82 ;6,03 ;0,00 ;;; KG TERRA;2019;2021;2025;;7,0 ;;4,48 ;4,97 ;6,03 ;;;;
;set;12,28 ;15,34 ;13,86 ;14,23 ;11,56 ;11,02 ;5,81 ;9,60 ;6,85 ;7,39 ;9,41 ;10,00 ;8,05 ;6,87 ;5,31 ;0,00 ;;; KG TERRA;2025;2017;2019;;7,5 ;;5,31 ;5,81 ;6,85 ;;;;
;out;15,84 ;21,58 ;17,50 ;13,29 ;20,41 ;12,14 ;14,19 ;13,26 ;8,40 ;8,11 ;11,00 ;13,61 ;9,36 ;9,30 ;8,02 ;0,00 ;;; KG TERRA;2025;2020;2019;;8,0 ;;8,02 ;8,11 ;8,40 ;;;;
;nov;14,77 ;20,44 ;25,75 ;24,12 ;23,09 ;12,84 ;17,34 ;11,74 ;16,21 ;7,96 ;8,81 ;9,33 ;11,65 ;9,12 ;11,07 ;0,00 ;;; KG TERRA;2020;2021;2024;;8,5 ;;7,96 ;8,81 ;9,12 ;;;;
;dez;9,48 ;28,74 ;34,18 ;23,60 ;20,69 ;16,87 ;15,22 ;10,65 ;0,00 ;7,59 ;0,00 ;13,47 ;13,07 ;0,00 ;8,19 ;0,00 ;;; KG TERRA;2020;2025;2011;;;;7,59 ;8,19 ;9,48 ;;;;
;;;;;;;;;;;;;;;;;;;; KG TERRA;;;;;;;0,00 ;0,00 ;0,00 ;;;;
 KG VEGETAL;jan;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;132,14 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;; KG VEGETAL;2016;;2016;;;;132,14 ;0,00 ;132,14 ;;;;
;fev;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;146,72 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;; KG VEGETAL;2016;;2016;;;;146,72 ;0,00 ;146,72 ;;;;
;mar;0,00 ;0,00 ;128,96 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;108,54 ;0,00 ;0,00 ;0,00 ;91,62 ;96,06 ;90,91 ;70,73 ;;; KG VEGETAL;2025;2023;2024;;80,0 ;;90,91 ;91,62 ;96,06 ;;;;
;abr;82,81 ;123,53 ;144,05 ;123,04 ;109,92 ;0,00 ;86,57 ;94,75 ;117,48 ;100,34 ;94,14 ;99,99 ;85,02 ;94,50 ;92,19 ;0,00 ;;; KG VEGETAL;2011;2023;2017;;80,0 ;;82,81 ;85,02 ;86,57 ;;;;
;mai;93,19 ;121,41 ;125,31 ;145,47 ;104,92 ;118,81 ;102,42 ;73,57 ;94,60 ;90,83 ;70,83 ;116,98 ;72,02 ;74,99 ;95,06 ;0,00 ;;; KG VEGETAL;2021;2023;2018;;77,0 ;;70,83 ;72,02 ;73,57 ;;;;
;jun;92,36 ;113,61 ;141,13 ;157,66 ;99,69 ;108,84 ;97,47 ;77,18 ;74,11 ;94,31 ;83,78 ;119,54 ;64,69 ;74,46 ;89,61 ;0,00 ;;; KG VEGETAL;2023;2019;2024;;74,0 ;;64,69 ;74,11 ;74,46 ;;;;
;jul;93,77 ;106,86 ;135,39 ;137,91 ;101,27 ;104,49 ;81,82 ;75,82 ;87,58 ;103,56 ;78,88 ;79,51 ;55,46 ;69,47 ;88,38 ;0,00 ;;; KG VEGETAL;2023;2024;2018;;72,0 ;;55,46 ;69,47 ;75,82 ;;;;
;ago;85,55 ;90,38 ;112,45 ;108,76 ;90,43 ;102,98 ;71,83 ;86,29 ;89,58 ;99,26 ;75,18 ;74,06 ;64,10 ;72,46 ;91,46 ;0,00 ;;; KG VEGETAL;2023;2017;2024;;70,0 ;;64,10 ;71,83 ;72,46 ;;;;
;set;78,58 ;92,90 ;106,96 ;119,25 ;108,12 ;112,29 ;74,05 ;84,42 ;88,64 ;96,73 ;85,85 ;85,64 ;67,39 ;70,63 ;73,75 ;0,00 ;;; KG VEGETAL;2023;2024;2025;;80,0 ;;67,39 ;70,63 ;73,75 ;;;;
;out;89,89 ;112,09 ;111,29 ;113,41 ;128,70 ;124,53 ;101,23 ;104,51 ;101,11 ;113,72 ;102,38 ;97,63 ;70,15 ;72,51 ;67,51 ;0,00 ;;; KG VEGETAL;2025;2023;2024;;85,0 ;;67,51 ;70,15 ;72,51 ;;;;
;nov;83,97 ;128,94 ;140,14 ;134,67 ;151,42 ;125,43 ;109,75 ;123,82 ;111,85 ;106,24 ;118,93 ;94,10 ;66,68 ;102,83 ;79,15 ;0,00 ;;; KG VEGETAL;2023;2025;2011;;85,0 ;;66,68 ;79,15 ;83,97 ;;;;
;dez;109,48 ;136,25 ;173,27 ;142,25 ;146,09 ;154,61 ;119,38 ;126,57 ;0,00 ;92,21 ;0,00 ;110,52 ;99,61 ;0,00 ;76,98 ;0,00 ;;; KG VEGETAL;2025;2020;2023;;;;76,98 ;92,21 ;99,61 ;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total  KG ATR;;134,29 ;131,82 ;122,10 ;125,66 ;125,57 ;125,20 ;126,45 ;121,69 ;127,14 ;130,29 ;134,20 ;135,53 ;138,92 ;137,71 ;139,64 ;115,66 ;;; KG ATR;2025;2023;2024;;;;139,64 ;138,92 ;137,71 ;;;;
Total  KG TERRA;;15,85 ;18,86 ;15,99 ;16,02 ;14,76 ;11,75 ;8,80 ;8,71 ;7,13 ;7,75 ;7,03 ;8,85 ;8,64 ;7,41 ;7,95 ;8,70 ;;; KG TERRA;2021;2019;2024;;;;7,03 ;7,13 ;7,41 ;;;;
Total  KG VEGETAL;;87,34 ;112,16 ;125,66 ;131,23 ;109,43 ;117,41 ;89,66 ;91,36 ;93,11 ;101,00 ;84,33 ;96,54 ;69,39 ;78,76 ;85,67 ;70,73 ;;; KG VEGETAL;2023;2024;2021;;;;69,39 ;78,76 ;84,33 ;;;;
