Benchmarking CTC - Safra 2025 - Total de área (ha) colhida mês a mês ;;;;;;;;;;;;;;
;Participante;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Jan;Fev;Média
76;Nova América - Tarumã;451;1750;4216;2642;5347;5675;4572;3796;2914;2286;;;
77;Nardini - Vista Alegre;;2051;7311;6777;7974;8245;7783;8661;4254;;;;
78;Nardini - Aporé;;157;2752;2634;3548;3258;3145;3142;;;2552;;
79;Participante 79;;;875;724;905;815;1215;1532;;;;;
80;Melhoramentos - VDP;1180;1871;2703;3001;3673;3256;3013;2720;3670;1985;;;
81;Melhoramentos - NL;1748;1640;2821;2183;3214;3080;2123;2350;2148;1681;;;
82;Melhoramentos - JS;;3686;3934;2525;5237;4745;4806;3194;3139;1725;;;
83;Londra;1166;1306;1228;511;1530;1388;1338;1658;1504;733;;;
84;Lins;2637;5985;6830;5899;5279;5820;6798;7093;3588;;;;
85;Laguna;992;1376;2488;1853;3117;2428;2071;1004;1273;780;;;
86;Jalles - Santa Vitória;;911;4674;4566;5379;5759;5752;4617;;;;;
87;Jalles - Otávio Lage;;2804;4278;4110;3912;4233;4167;4359;893;;;;
88;Jalles - Matriz;;2601;4213;5190;4976;4744;5354;4967;1146;;;;
89;Jacarezinho;;1726;1861;1255;1888;1906;1373;1976;909;342;;;
90;Itajobi;;3563;2638;1718;1623;2491;3179;2505;217;;;;
91;Ipiranga - Passos;;290;791;1027;1756;1478;2480;1606;1205;751;;;
92;Ipiranga - Mococa;;1539;3992;3064;3283;2278;4462;4655;3258;1267;;;
93;Ipiranga - Iacanga;;2919;5500;3644;4335;3945;6059;6118;6227;;;;
94;Ipiranga - Descalvado;696;2313;3504;2780;3345;3110;4295;3853;;;;;
95;Guaira;;2221;4448;5273;4321;4869;4704;4152;;;;;
96;Goiasa;;2537;2298;1732;3844;2543;3911;4298;1714;;;;
97;Participante 97;;;1287;1428;1401;1718;1597;1489;495;;;;
98;Ferrari;;2659;5247;4458;3798;4012;3285;3400;3272;;;;
99;Ester;;1445;2062;1997;708;1692;1717;2786;;;;;
100;Energética Sta Helena;3456;962;3155;3222;3968;5426;4323;2371;1091;3993;;;
101;Energética Serranópolis;;127;2122;2266;2598;2606;;;;;;;
102;Diana;356;1403;2172;1743;1639;1318;1139;935;1651;121;;;
103;Denusa;;2202;1876;1565;1689;1228;2141;2403;630;;;;
104;Participante 104;;3508;5137;5538;5218;5100;6139;5345;3769;;;;
105;Participante 105;;4398;5613;5330;5232;5554;5907;5197;640;;;;
106;Della Coletta;;755;2902;6476;3024;2070;3082;3217;1678;;;;
107;Dacalda;;1289;1100;259;199;281;488;655;403;417;;;
