Benchmarking CTC - Moagem Total mês a mês;;;;;;;;;;;;;;;;
;Participante;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Jan;Fev;Média;;
71;Pedra - Cedro;;;;;;143956;204374;220932;;;;;;;
72;Pedra - Buriti;;;330751;506302;507885;481880;405086;246757;;;;;;;
73;Participante 73;;38149;89219;43934;105696;138994;119488;87074;73267;33211;;;;;
74;Nova América - Tarumã;31505;189796;483604;261165;523570;528371;456067;325366;257845;135915;;;;;
75;Nardini - Vista Alegre;;171283;622268;581105;652264;632449;544657;474415;215157;;;;;;
76;Nardini - Aporé;;10195;220112;190378;242339;238937;214767;169087;;;;;;;
77;Participante 77;;;75148;90569;112300;93531;89759;106153;;;;;;;
78;Melhoramentos - VDP;94201;149917;313517;260480;337025;302691;313003;248704;274034;127207;;;;;
79;Melhoramentos - NL;134087;102249;223621;165751;250586;236334;216361;163400;163715;114316;;;;;
80;Melhoramentos - JS;;297322;379612;223564;432309;420728;392418;271543;260623;150808;;;;;
81;Londra;95852;133177;130329;105712;164205;201925;168492;146376;112381;61301;;;;;
82;Lins;253291;420471;540643;459543;649086;625113;573176;460215;193574;;;;;;
83;Lasa;;1512;60302;;;;;;;;;;;;
84;Laguna;122329;99092;234378;175332;245671;207627;220838;108226;123122;68424;;;;;
85;Jalles - Santa Vitória;;54304;353000;351062;356260;317022;276557;170343;;;;;;;
86;Jalles - Otávio Lage;;231037;382589;381129;365874;376743;357539;294138;63226;;;;;;
87;Jalles - Matriz;;229337;395734;397448;448143;375897;384180;350855;81378;;;;;;
88;Jacarezinho;;322398;393696;245365;430863;445748;392544;321624;223706;103246;;;;;
89;Itajobi;;278348;298275;254011;270166;240552;201055;144746;9595;;;;;;
90;Ipiranga - Passos;;71917;210311;173811;223451;207585;197479;153967;114417;12023;;;;;
91;Ipiranga - Mococa;;184171;394210;307762;412691;375708;386735;283973;240591;32674;;;;;
92;Ipiranga - Iacanga;;242081;478994;334246;495841;491844;413218;345256;315985;;;;;;
93;Ipiranga - Descalvado;78724;211656;255964;232156;265847;265898;246853;180694;;;;;;;
94;Guaira;;232757;428635;395344;415373;405826;345101;217964;;;;;;;
95;Goiasa;;267432;421516;414421;403981;399706;348348;354736;136821;;;;;;
96;Participante 96;;;137938;145081;128388;155928;143150;124311;32382;;;;;;
97;Ferrari;;241663;529944;478038;533108;505757;464282;388574;240304;;;;;;
98;Ester;;143007;352269;281793;271002;388913;292208;172946;;;;;;;
99;Energética Sta Helena;263791;68842;277157;255416;303064;297255;240570;112650;129592;210320;;;;;
100;Energética Serranópolis;;34742;253686;247198;273656;264039;;;;;;;;;
101;Diana;31202;151298;262636;173287;252435;253158;236716;181991;170304;2651;;;;;
102;Denusa;;179500;211575;209164;228584;186531;195731;204572;51016;;;;;;
103;Participante 103;;439576;951677;1000937;1033589;940936;901180;858438;430188;;;;;;
104;Participante 104;;551227;675058;655574;698922;715399;634451;459337;44977;;;;;;
105;Della Coletta;;57915;225781;158830;257224;247160;206542;170687;54879;;;;;;
106;Dacalda;22300;110429;163520;87539;182507;182449;132612;100240;75349;48164;;;;;
107;Da Mata;;;554244;570990;711443;736292;641028;491706;485291;222308;;;;;
108;Cox Energy - Coxag;;;290836;284119;356194;372113;327017;193129;;;;;;;
109;Coruripe - Lim. Oeste;;73302;331900;314350;356954;336243;307030;278738;129811;;;;;;
110;Coruripe - Iturama;;320643;474306;427879;507997;497880;466284;388807;167999;;;;;;
111;Coruripe - Carneirinho;;218841;307757;296750;375692;343986;309455;242107;35980;;;;;;
112;Coruripe - Campo Florido;;265086;555256;582120;623855;614636;565090;487084;41229;;;;;;
113;Colombo - Santa Albertina;;86664;333375;307446;379109;369657;335015;271022;211465;;;;;;
114;Colombo - Palestina;;127713;297600;280673;292872;298029;265372;197844;32662;;;;;;
115;Colombo - Ariranha;;43387;827814;769709;873686;840776;792816;668060;577068;87452;;;;;
116;Cofco - Sebastianópolis;;344768;642815;650101;724185;717204;661583;558544;480454;19480;;;;;
117;Cofco - Potirendaba;;285102;546879;491717;539524;548349;504152;412758;258271;;;;;;
118;Cofco - Meridiano;;302057;579528;561863;599374;608129;539394;494146;360166;;;;;;
119;Cofco - Catanduva;;333748;610857;603964;644749;679851;585113;507147;309798;;;;;;
120;Cocal PPT;380369;328337;454746;297551;515111;528261;436958;322614;232763;;;;;;
121;Cocal NRD;544002;423935;676447;493996;685086;821359;710851;454177;386273;;;;;;
122;Clealco - Queiroz;;110994;521652;396331;636984;615203;517904;434476;405355;;;;;;
123;Clealco - Clementina;;87150;343016;222463;364042;399238;357902;266768;282179;;;;;;
124;Cevasa;;117876;368480;313553;373533;396602;322596;224106;22522;;;;;;
125;Cerradão;;265779;780296;888020;967618;889446;796356;714492;427308;;;;;;
126;Cerradinho Bioenergia;;407156;701423;601443;824245;749601;698543;584300;445865;39345;;;;;
127;Participante 127;;189233;356082;336250;364292;368787;337517;344567;299025;4478;;;;;
128;Cargill Bioenergia - USF;;221069;591526;612663;739002;645091;602544;566841;526684;28944;;;;;
129;Cargill Bioenergia - URD;;253510;488325;453377;509358;469710;402534;352855;95033;;;;;;
130;Cananova - Mirassol D Oeste;;23561;116116;185085;160167;131358;175006;205160;265536;;;;;;
131;Cananova - Lambari D Oeste;;84629;221390;216464;243573;222884;212009;180739;33937;;;;;;
132;CMAA - Vale do Tijuco;;322810;699644;662950;650299;608939;515382;439569;47031;;;;;;
133;CMAA - Canápolis;;187610;269124;259459;281046;253930;208721;200153;90104;;;;;;
134;Bunge - Rio Vermelho;;;481678;423153;567709;534249;512914;376074;353160;;;;;;
135;Bunge - Nova Unialco;;135554;393253;267867;410348;413610;367496;285732;279653;;;;;;
136;Branco Peres;;92417;241112;217527;265337;238399;229573;205993;196208;;;;;;
137;Bevap;;154822;494550;476487;476971;477670;448086;451388;38202;;;;;;
138;Batatais;;299515;552558;447730;544449;551541;490112;369561;52145;;;;;;
139;Bandeirantes;;124501;270642;118683;292660;242908;271409;106832;;;;;;;
140;Bambuí Bioenergia;;20505;181631;160230;154389;166847;142834;63620;;;;;;;
141;Balbo - Uberaba;;146527;352261;445558;374597;348732;406262;268843;327195;;;;;;
142;Balbo - Santo Antonio;;8675;437157;417120;442031;456523;441913;326625;357171;;;;;;
143;BP - Tropical;72169;410941;656658;558171;731474;664937;580767;508137;14475;;;;;;
144;BP - Santa Juliana;;170124;407048;404889;425659;379405;189789;;;;;;;;
145;BP - Pedro Afonso;18925;262292;331068;309654;326681;293920;278683;157191;;;;;;;
146;BP - Ouroeste;85716;199893;277445;205633;288770;256419;226656;26581;;;;;;;
147;BP - Monte Verde;;42353;149368;128613;188504;168192;159441;30064;;;;;;;
148;BP - Moema;18358;206395;519774;509919;539061;491017;382931;223759;;;;;;;
149;BP - Itumbiara;28389;211305;320219;312497;323385;293898;220284;123331;;;;;;;
150;BP - Ituiutaba;30238;150069;269850;246049;273732;258541;225765;128036;;;;;;;
151;BP - Itapagipe;104249;161300;256324;259562;278600;211085;199388;93100;;;;;;;
152;BP - Guariroba;13872;155865;240272;225856;265301;274943;220586;170318;;;;;;;
153;BP - Frutal;73855;192921;308907;271293;315113;304897;279993;163652;;;;;;;
154;Atvos - Água Emendada;0;7100;348005;373979;443077;376336;333001;293666;132747;0;0;;;;
155;Atvos - Santa Luzia I;0;89378;636657;656156;787050;699430;670313;467215;378868;210245;0;;;;
156;Atvos - Rio Claro;0;120994;470997;470075;532220;497514;444560;375169;252565;2463;0;;;;
157;Atvos - Polo SP;0;276250;501130;390804;696314;665136;588913;391086;351157;212487;0;;;;
158;Atvos - Morro Vermelho;0;80422;385661;407089;469058;470594;459654;362528;323790;10942;0;;;;
159;Atvos - Eldorado;0;31063;509467;582592;694479;655991;657756;367996;379833;295236;0;;;;
160;Atvos - Costa Rica;0;87181;385432;423372;465154;456149;444279;364164;306356;46123;0;;;;
161;Atvos - Alto Taquari;0;34185;365986;387386;442039;467561;385156;301743;0;0;0;;;;
162;Participante 162;;72230;218599;170929;229476;218498;206816;184556;232229;;;;;;
163;Participante 163;;234420;519048;406574;615622;542697;600544;500607;361891;;;;;;
164;Participante 164;;319554;534413;390588;670266;623915;615429;444491;310016;;;;;;
