 RANK ; FAZENDA ; AREA_HA ; TCH ; ATR ; TAH_GERAL ; CORTES_COM_DADO ; TALHOES 
 114,00 ; Sítio Santa Terezinha ; 199,64 ; 68,08 ; 131,11 ; 8,93 ; 4,00 ; 8,00 
 117,00 ; Fazenda Dois Irmãos ; 974,16 ; 65,82 ; 133,76 ; 8,80 ; 4,00 ; 60,00 
 122,00 ; Fazenda Guairaca ; 646,19 ; 57,45 ; 150,98 ; 8,67 ; 4,00 ; 73,00 
 133,00 ; Estancia Sao Francisco ; 147,62 ; 59,18 ; 143,51 ; 8,49 ; 4,00 ; 14,00 
 138,00 ; Estância Nativa II ; 106,72 ; 56,49 ; 144,71 ; 8,18 ; 4,00 ; 12,00 
 139,00 ; Estância Santa Rita de Cassia ; 133,76 ; 55,89 ; 146,18 ; 8,17 ; 4,00 ; 12,00 
 143,00 ; Fazenda Sao Luiz ; 74,57 ; 56,18 ; 142,52 ; 8,01 ; 4,00 ; 21,00 
 144,00 ; Chacara Nativa  ; 39,81 ; 56,04 ; 142,71 ; 8,00 ; 4,00 ; 4,00 
 148,00 ; Fazenda Esperança ; 370,28 ; 57,01 ; 137,55 ; 7,84 ; 4,00 ; 40,00 
 155,00 ; Fazenda Vila Rica ; 360,18 ; 54,55 ; 137,97 ; 7,53 ; 4,00 ; 58,00 
 158,00 ; Sítio São Lucas ; 99,22 ; 56,08 ; 130,12 ; 7,30 ; 4,00 ; 28,00 
 159,00 ; Fazenda Estrela ; 662,15 ; 53,14 ; 136,95 ; 7,28 ; 4,00 ; 59,00 
 160,00 ; Fazenda Santa Izabel ; 1.743,42 ; 55,86 ; 129,64 ; 7,24 ; 4,00 ; 339,00 
 161,00 ; Sítio Santa Cruz ; 246,25 ; 50,79 ; 142,12 ; 7,22 ; 4,00 ; 26,00 
 163,00 ; Estância Três Corações ; 453,88 ; 50,63 ; 140,47 ; 7,11 ; 4,00 ; 28,00 
 164,00 ; Fazenda Santa Cecília ; 1.068,38 ; 53,75 ; 131,43 ; 7,06 ; 4,00 ; 56,00 
 165,00 ; Fazenda Promissao ; 357,38 ; 52,07 ; 135,45 ; 7,05 ; 4,00 ; 84,00 
 168,00 ; Fazenda Bom Sucesso I ; 239,28 ; 50,89 ; 136,09 ; 6,93 ; 4,00 ; 28,00 
 170,00 ; Fazenda Sao Pedro ; 430,70 ; 51,58 ; 133,40 ; 6,88 ; 4,00 ; 53,00 
 173,00 ; Estância Changai ; 592,68 ; 48,77 ; 138,65 ; 6,76 ; 4,00 ; 156,00 
 178,00 ; Fazenda Sao Joaquim ; 629,04 ; 44,29 ; 138,50 ; 6,13 ; 4,00 ; 88,00 
 181,00 ; Estância Santo Antonio ; 368,84 ; 43,71 ; 135,19 ; 5,91 ; 4,00 ; 24,00 
 183,00 ; Fazenda Sao Geraldo ; 620,15 ; 40,10 ; 145,10 ; 5,82 ; 4,00 ; 82,00 
 186,00 ; Fazenda Santa Ines ; 230,64 ; 40,52 ; 142,68 ; 5,78 ; 4,00 ; 36,00 
 188,00 ; Fazenda Sao Carlos ; 556,12 ; 41,10 ; 140,09 ; 5,76 ; 4,00 ; 55,00 
 190,00 ; Fazenda Cruzeiro do Sul ; 1.707,78 ; 40,87 ; 136,02 ; 5,56 ; 4,00 ; 280,00 
 191,00 ; Sítio Santa Catarina ; 147,48 ; 44,01 ; 124,74 ; 5,49 ; 4,00 ; 20,00 
 193,00 ; Fazenda Santa Ana ; 367,64 ; 40,36 ; 128,14 ; 5,17 ; 4,00 ; 8,00 
 199,00 ; Fazenda Santa Maria  ; 686,32 ; 32,49 ; 129,80 ; 4,22 ; 4,00 ; 40,00 
 21,00 ; Fazenda Santa Irene IV ; 659,53 ; 82,89 ; 152,70 ; 12,66 ; 5,00 ; 24,00 
 23,00 ; Fazenda Santo Antônio  ; 1.750,11 ; 84,56 ; 149,49 ; 12,64 ; 5,00 ; 133,00 
 25,00 ; Fazenda Nossa Senhora das Graças ; 879,76 ; 85,99 ; 145,40 ; 12,50 ; 5,00 ; 20,00 
 27,00 ; Fazenda Três Irmãos ; 189,66 ; 89,21 ; 139,42 ; 12,44 ; 5,00 ; 24,00 
 43,00 ; Fazenda Agua Funda ; 89,95 ; 81,84 ; 139,55 ; 11,42 ; 5,00 ; 35,00 
 48,00 ; Fazenda Ouro Verde  ; 859,41 ; 73,43 ; 151,71 ; 11,14 ; 5,00 ; 84,00 
 52,00 ; Fazenda Nova Esperança - Estrada ; 9,35 ; 80,40 ; 137,37 ; 11,04 ; 5,00 ; 5,00 
 56,00 ; Fazenda Concórdia ; 3.639,29 ; 78,22 ; 140,11 ; 10,96 ; 5,00 ; 147,00 
 58,00 ; Fazenda Figueira ; 421,88 ; 82,03 ; 132,27 ; 10,85 ; 5,00 ; 52,00 
 63,00 ; Fazenda Boa Esperança ; 1.192,95 ; 77,83 ; 133,97 ; 10,43 ; 5,00 ; 68,00 
 64,00 ; Fazenda Sossego ; 3.878,26 ; 72,21 ; 144,03 ; 10,40 ; 5,00 ; 235,00 
 66,00 ; Fazenda São José ; 909,16 ; 71,39 ; 145,30 ; 10,37 ; 5,00 ; 97,00 
 67,00 ; Fazenda Três Barras ; 835,37 ; 78,30 ; 132,38 ; 10,36 ; 5,00 ; 86,00 
 82,00 ; Estância São José ; 541,68 ; 71,21 ; 138,90 ; 9,89 ; 5,00 ; 46,00 
 85,00 ; Fazenda 3 Poderes ; 797,88 ; 77,22 ; 126,82 ; 9,79 ; 5,00 ; 45,00 
 88,00 ; Estância Santa Luzia ; 475,75 ; 71,45 ; 135,36 ; 9,67 ; 5,00 ; 50,00 
 90,00 ; Faz. Santa Maria dos Palmares  ; 531,80 ; 67,73 ; 142,38 ; 9,64 ; 5,00 ; 99,00 
 97,00 ; Fazenda Harmonia ; 706,05 ; 68,75 ; 135,60 ; 9,32 ; 5,00 ; 89,00 
 98,00 ; Fazenda Esperanca ; 274,55 ; 70,44 ; 131,73 ; 9,28 ; 5,00 ; 60,00 
 100,00 ; Fazenda Santa Clara ; 279,81 ; 67,35 ; 137,11 ; 9,23 ; 5,00 ; 42,00 
 102,00 ; Fazenda Mutum ; 585,89 ; 66,73 ; 137,36 ; 9,17 ; 5,00 ; 48,00 
 103,00 ; Fazenda Ouro Branco ; 609,38 ; 61,76 ; 147,53 ; 9,11 ; 5,00 ; 52,00 
 105,00 ; Fazenda Vale do Sol  ; 903,49 ; 68,82 ; 132,33 ; 9,11 ; 5,00 ; 92,00 
 108,00 ; Fazenda Bela Vista ; 743,32 ; 69,93 ; 129,14 ; 9,03 ; 5,00 ; 54,00 
 115,00 ; Sítio Santo Expedito ; 79,50 ; 58,87 ; 150,67 ; 8,87 ; 5,00 ; 10,00 
 116,00 ; Fazenda Sao Manoel ; 1.943,16 ; 65,29 ; 135,39 ; 8,84 ; 5,00 ; 153,00 
 119,00 ; Sitio MQ ; 265,45 ; 63,66 ; 137,81 ; 8,77 ; 5,00 ; 34,00 
 120,00 ; Sitio Pato Branco I e II ; 130,97 ; 68,40 ; 128,00 ; 8,76 ; 5,00 ; 20,00 
