CD_SAFRA;FAZENDA;AMBIENTE;VARIEDADE;CORTE;AREA_HA;TON_CANA;KG_ACUCAR;TCH;ATR;TAH_LINHA
22223;Fazenda Sossego;Ambiente D;RB92579;5;10,94;341,62;50.256,84;31,23;147,11;4,59
22122;Fazenda Sossego;Ambiente D;RB92579;4;14,33;672,30;91.669,61;46,92;136,35;6,40
22223;Fazenda Sossego;Ambiente D;RB92579;5;14,33;446,39;65.669,83;31,15;147,11;4,58
22122;Fazenda Sossego;Ambiente D;RB92579;4;7,40;349,97;47.715,12;47,29;136,34;6,45
22223;Fazenda Sossego;Ambiente D;RB92579;5;7,40;352,87;51.911,80;47,69;147,11;7,02
22122;Fazenda do Retiro;Ambiente D;RB92579;5;3,90;63,23;8.587,38;16,21;135,82;2,20
22122;Fazenda do Retiro;Ambiente D;RB92579;5;0,75;25,09;3.407,95;33,46;135,82;4,54
22122;Fazenda do Retiro;Ambiente D;RB92579;5;2,11;68,09;9.247,58;32,27;135,82;4,38
22122;Fazenda do Retiro;Ambiente D;RB92579;5;2,04;66,48;9.029,05;32,59;135,82;4,43
22122;Fazenda do Retiro;Ambiente D;RB92579;5;0,68;21,84;2.966,81;32,12;135,82;4,36
22122;Fazenda do Retiro;Ambiente D;RB92579;5;2,13;70,53;9.578,98;33,11;135,82;4,50
22122;Fazenda do Retiro;Ambiente D;RB92579;5;4,18;135,44;18.394,92;32,40;135,82;4,40
22122;Fazenda do Retiro;Ambiente D;RB92579;5;2,81;90,81;12.333,64;32,32;135,82;4,39
22122;Fazenda do Retiro;Ambiente D;RB92579;5;8,98;291,22;39.553,34;32,43;135,82;4,40
22122;Fazenda do Retiro;Ambiente D;RB92579;5;2,99;97,30;13.214,43;32,54;135,82;4,42
22122;Fazenda do Retiro;Ambiente D;RB92579;5;3,25;105,41;14.316,85;32,43;135,82;4,41
22122;Fazenda do Retiro;Ambiente D;RB92579;5;4,75;154,10;20.929,16;32,44;135,82;4,41
22122;Fazenda do Retiro;Ambiente D;RB92579;5;2,10;68,09;9.247,58;32,42;135,82;4,40
22122;Fazenda do Retiro;Ambiente D;RB92579;5;4,24;137,87;18.725,23;32,52;135,82;4,42
22122;Fazenda do Retiro;Ambiente D;RB92579;5;4,03;130,57;17.733,49;32,40;135,82;4,40
22122;Fazenda do Retiro;Ambiente D;RB92579;5;3,09;100,55;13.656,10;32,54;135,82;4,42
22122;Fazenda do Retiro;Ambiente D;RB92579;5;5,06;163,84;22.252,03;32,38;135,82;4,40
22122;Fazenda do Retiro;Ambiente D;RB92579;5;3,66;118,40;16.081,27;32,35;135,82;4,39
22122;Fazenda do Retiro;Ambiente D;RB92579;5;6,02;195,48;26.549,17;32,47;135,82;4,41
22122;Fazenda do Retiro;Ambiente D;RB92579;5;5,09;165,46;22.471,77;32,51;135,82;4,41
22122;Fazenda do Retiro;Ambiente D;RB92579;5;2,21;71,35;9.690,35;32,28;135,82;4,38
22122;Fazenda do Retiro;Ambiente D;RB92579;5;2,56;82,69;11.230,92;32,30;135,82;4,39
22122;Fazenda do Retiro;Ambiente D;RB92579;5;3,76;121,64;16.521,05;32,35;135,82;4,39
22122;Fazenda do Retiro;Ambiente D;RB92579;5;4,12;133,82;18.175,04;32,48;135,82;4,41
22122;Fazenda do Retiro;Ambiente D;RB92579;5;3,85;124,89;16.962,60;32,44;135,82;4,41
22122;Fazenda do Retiro;Ambiente D;RB92579;5;1,59;51,87;7.044,62;32,62;135,82;4,43
22122;Fazenda do Retiro;Ambiente D;RB92579;5;2,43;78,64;10.680,87;32,36;135,82;4,40
22122;Fazenda do Retiro;Ambiente D;RB92579;5;6,61;214,14;29.084,35;32,40;135,82;4,40
22122;Fazenda do Retiro;Ambiente D;RB92579;5;7,75;251,46;34.152,82;32,45;135,82;4,41
22122;Fazenda do Retiro;Ambiente D;RB92579;5;11,96;387,77;52.665,49;32,42;135,82;4,40
22122;Fazenda do Retiro;Ambiente D;RB92579;5;6,24;202,78;27.540,92;32,50;135,82;4,41
22122;Fazenda do Retiro;Ambiente B;RB92579;5;2,83;93,61;12.713,71;33,08;135,82;4,49
22122;Fazenda Sao Jorge;Ambiente E;CTC15;6;3,05;63,80;8.702,39;20,92;136,41;2,85
22324;Fazenda Sao Jorge;Ambiente E;SP83-2847;1;9,09;811,03;121.614,72;89,22;149,95;13,38
22425;Fazenda Sao Jorge;Ambiente E;SP83-2847;2;9,09;669,68;105.292,54;73,67;157,23;11,58
22526;Fazenda Sao Jorge;Ambiente E;SP83-2847;3;9,09;437,97;70.032,43;48,18;159,90;7,70
22122;Fazenda Sao Jorge;Ambiente D;CTC15;6;5,01;104,42;14.243,59;20,84;136,41;2,84
22324;Fazenda Sao Jorge;Ambiente D;SP83-2847;1;18,97;1.692,11;253.734,06;89,20;149,95;13,38
22425;Fazenda Sao Jorge;Ambiente D;SP83-2847;2;18,97;1.397,25;219.687,98;73,66;157,23;11,58
22526;Fazenda Sao Jorge;Ambiente E;SP83-2847;3;18,97;762,67;121.953,50;40,20;159,90;6,43
22122;Fazenda Sao Jorge;Ambiente D;RB867515;6;10,66;222,81;30.393,75;20,90;136,41;2,85
22324;Fazenda Sao Jorge;Ambiente D;SP83-2847;1;16,47;1.469,55;220.360,95;89,23;149,95;13,38
22425;Fazenda Sao Jorge;Ambiente D;SP83-2847;2;16,47;1.213,11;190.735,75;73,66;157,23;11,58
22526;Fazenda Sao Jorge;Ambiente E;SP83-2847;3;16,47;662,20;105.888,27;40,21;159,90;6,43
22122;Fazenda Sao Jorge;Ambiente D;RB867515;6;9,65;201,91;27.543,32;20,92;136,41;2,85
22324;Fazenda Sao Jorge;Ambiente D;SP83-2847;1;16,52;1.473,22;220.911,69;89,18;149,95;13,37
22425;Fazenda Sao Jorge;Ambiente D;SP83-2847;2;16,52;1.216,09;191.204,62;73,61;157,23;11,57
22526;Fazenda Sao Jorge;Ambiente E;SP83-2847;3;16,52;663,81;106.145,70;40,18;159,90;6,43
22122;Fazenda Sao Jorge;Ambiente D;RB867515;6;7,29;152,01;20.735,91;20,85;136,41;2,84
22324;Fazenda Sao Jorge;Ambiente D;SP83-2847;1;21,01;1.874,22;281.041,90;89,21;149,95;13,38
22425;Fazenda Sao Jorge;Ambiente D;SP83-2847;2;21,01;1.547,52;243.315,04;73,66;157,23;11,58
22526;Fazenda Sao Jorge;Ambiente D;SP83-2847;3;21,01;844,66;135.063,30;40,20;159,90;6,43
22122;Fazenda Sao Jorge;Ambiente D;RB867515;6;9,69;201,91;27.543,32;20,84;136,41;2,84
22324;Fazenda Sao Jorge;Ambiente D;SP83-2847;1;17,47;1.606,58;240.908,81;91,96;149,95;13,79
22425;Fazenda Sao Jorge;Ambiente D;SP83-2847;2;17,47;1.391,27;218.747,12;79,64;157,23;12,52
22526;Fazenda Sao Jorge;Ambiente D;SP83-2847;3;17,47;702,39;112.314,25;40,21;159,90;6,43
22122;Fazenda Sao Jorge;Ambiente D;RB867515;6;11,30;235,57;32.135,14;20,85;136,41;2,84
22324;Fazenda Sao Jorge;Ambiente D;SP83-2847;1;19,11;1.758,48;263.687,49;92,02;149,95;13,80
22425;Fazenda Sao Jorge;Ambiente D;SP83-2847;2;19,11;1.522,60;239.396,90;79,68;157,23;12,53
22526;Fazenda Sao Jorge;Ambiente D;SP83-2847;3;19,11;768,80;122.933,23;40,23;159,90;6,43
22122;Fazenda Sao Jorge;Ambiente E;RB867515;6;7,61;158,97;21.685,34;20,89;136,41;2,85
22122;Fazenda Sao Jorge;Ambiente E;RB867515;6;9,02;187,99;25.643,70;20,84;136,41;2,84
22122;Fazenda Sao Jorge;Ambiente E;RB867515;6;9,86;205,39;28.018,24;20,83;136,41;2,84
22122;Fazenda Sao Jorge;Ambiente E;RB867515;6;6,63;138,08;18.835,10;20,83;136,41;2,84
22122;Fazenda Sao Jorge;Ambiente E;RB867515;6;13,56;283,16;38.626,96;20,88;136,41;2,85
22122;Fazenda Sao Jorge;Ambiente E;SP83-2847;6;14,09;295,30;40.283,06;20,96;136,41;2,86
22122;Fazenda Sao Jorge;Ambiente E;RB975033;2;2,42;112,85;15.961,50;46,63;141,44;6,60
22223;Fazenda Sao Jorge;Ambiente E;RB975033;3;2,50;105,53;14.361,93;42,21;136,09;5,74
22324;Fazenda Sao Jorge;Ambiente E;RB975033;4;2,50;93,08;12.465,24;37,23;133,92;4,99
22526;Fazenda Sao Jorge;Ambiente C;CTC1007;1;20,06;2.340,46;322.289,11;116,67;137,70;16,07
22122;Fazenda Sao Jorge;Ambiente E;RB975033;2;3,48;162,99;23.053,26;46,83;141,44;6,62
22223;Fazenda Sao Jorge;Ambiente E;RB975033;3;3,94;175,61;23.896,11;44,57;136,07;6,07
22324;Fazenda Sao Jorge;Ambiente E;RB975033;4;3,94;147,02;19.688,65;37,31;133,92;5,00
22526;Fazenda Sao Jorge;Ambiente C;CTC1007;1;7,68;677,74;96.788,65;88,25;142,81;12,60
22122;Fazenda Sao Jorge;Ambiente E;RB975033;2;3,28;153,43;21.702,25;46,78;141,44;6,62
22223;Fazenda Sao Jorge;Ambiente E;RB975033;3;3,68;155,58;21.174,20;42,28;136,10;5,75
22324;Fazenda Sao Jorge;Ambiente E;RB975033;4;3,68;137,21;18.374,24;37,28;133,92;4,99
22526;Fazenda Sao Jorge;Ambiente E;CTC1007;1;27,66;2.440,70;348.556,75;88,24;142,81;12,60
22122;Fazenda Sao Jorge;Ambiente E;RB975033;2;2,63;122,78;17.365,92;46,68;141,44;6,60
22223;Fazenda Sao Jorge;Ambiente E;RB975033;3;2,72;114,43;15.571,09;42,07;136,07;5,72
22324;Fazenda Sao Jorge;Ambiente E;RB975033;4;2,72;100,92;13.515,29;37,10;133,92;4,97
22526;Fazenda Sao Jorge;Ambiente C;CTC1007;1;36,52;3.222,67;460.231,00;88,24;142,81;12,60
22122;Fazenda Sao Jorge;Ambiente E;RB975033;2;1,37;64,06;9.061,43;46,76;141,45;6,61
22223;Fazenda Sao Jorge;Ambiente E;RB975033;3;1,63;68,84;9.368,31;42,23;136,09;5,75
22324;Fazenda Sao Jorge;Ambiente E;RB975033;4;1,63;60,73;8.132,98;37,26;133,92;4,99
22526;Fazenda Sao Jorge;Ambiente D;CTC1007;1;39,45;3.480,51;497.053,92;88,23;142,81;12,60
22122;Fazenda Sao Jorge;Ambiente E;RB975033;2;2,25;105,92;14.981,97;47,08;141,44;6,66
